stockid,open,high,low,close,histtime,volume
AAPL,572.8,595.75,572.55,594.09,2014-04-28,167371400
AAPL,593.74,595.98,589.51,592.33,2014-04-29,84344400
AAPL,592.64,599.43,589.8,590.09,2014-04-30,114160200
AAPL,592,594.8,586.36,591.48,2014-05-01,61012000
AAPL,592.34,594.2,589.71,592.58,2014-05-02,47878600
AAPL,590.14,601,590,600.96,2014-05-05,71766800
AAPL,601.8,604.41,594.41,594.41,2014-05-06,93641100
AAPL,595.25,597.29,587.73,592.33,2014-05-07,70716100
AAPL,588.25,594.41,586.4,587.99,2014-05-08,57574300
AAPL,584.54,586.25,580.33,585.54,2014-05-09,72899400
AAPL,587.49,593.66,587.4,592.83,2014-05-12,53302200
AAPL,592,594.54,590.7,593.76,2014-05-13,39934300
AAPL,592.43,597.4,591.74,593.87,2014-05-14,41601000
AAPL,594.7,596.6,588.04,588.82,2014-05-15,57711500
AAPL,588.63,597.53,585.4,597.51,2014-05-16,69064100
AAPL,597.85,607.33,597.33,604.59,2014-05-19,79438800
AAPL,604.51,606.4,600.73,604.71,2014-05-20,58709000
AAPL,603.83,606.7,602.06,606.31,2014-05-21,49214900
AAPL,606.6,609.85,604.1,607.27,2014-05-22,50190000
AAPL,607.25,614.73,606.47,614.13,2014-05-23,58052400
AAPL,615.88,625.86,615.63,625.63,2014-05-27,87216500
AAPL,626.02,629.83,623.78,624.01,2014-05-28,78870400
AAPL,627.85,636.87,627.77,635.38,2014-05-29,94118500
AAPL,637.98,644.17,628.9,633,2014-05-30,141005200
AAPL,633.96,634.83,622.5,628.65,2014-06-02,92337700
AAPL,628.46,638.74,628.25,637.54,2014-06-03,73177300
AAPL,637.44,647.89,636.11,644.82,2014-06-04,83870500
AAPL,646.2,649.37,642.61,647.35,2014-06-05,75951400
AAPL,649.9,651.26,644.47,645.57,2014-06-06,87484600
AAPL,92.7,93.88,91.75,93.7,2014-06-09,75415000
AAPL,94.73,95.05,93.57,94.25,2014-06-10,62777000
AAPL,94.13,94.76,93.47,93.86,2014-06-11,45681000
AAPL,94.04,94.12,91.9,92.29,2014-06-12,54749000
AAPL,92.2,92.44,90.88,91.28,2014-06-13,54525000
AAPL,91.51,92.75,91.45,92.2,2014-06-16,35561000
AAPL,92.31,92.7,91.8,92.08,2014-06-17,29726000
AAPL,92.27,92.29,91.35,92.18,2014-06-18,33514000
AAPL,92.29,92.3,91.34,91.86,2014-06-19,35528000
AAPL,91.85,92.55,90.9,90.91,2014-06-20,100898000
AAPL,91.32,91.62,90.6,90.83,2014-06-23,43694000
AAPL,90.75,91.74,90.19,90.28,2014-06-24,39036000
AAPL,90.21,90.7,89.65,90.36,2014-06-25,36869000
AAPL,90.37,91.05,89.8,90.9,2014-06-26,32629000
AAPL,90.82,92,90.77,91.98,2014-06-27,64029000
AAPL,92.1,93.73,92.09,92.93,2014-06-30,49482300
