stockid,price,realtime,volume
AAPL,97.43,"2016-04-28 10:47:00",15999734
AAPL,97.69,"2016-04-28 10:48:00",16472899
AAPL,97.7779,"2016-04-28 10:49:00",16706958
AAPL,97.76,"2016-04-28 10:50:00",17000679
AAPL,97.73,"2016-04-28 10:51:00",17164515
AAPL,97.669,"2016-04-28 10:52:00",17284134
AAPL,97.63,"2016-04-28 10:53:00",17385271
AAPL,97.6738,"2016-04-28 10:53:00",17481222
AAPL,97.78,"2016-04-28 10:55:00",17589677
AAPL,97.875,"2016-04-28 10:56:00",17715130
AAPL,97.7776,"2016-04-28 10:57:00",17893482
AAPL,97.7701,"2016-04-28 10:58:00",18007590
AAPL,97.7999,"2016-04-28 10:59:00",18094878
AAPL,97.8,"2016-04-28 11:00:00",18255949
AAPL,97.7947,"2016-04-28 11:00:00",18341566
AAPL,97.815,"2016-04-28 11:01:00",18441199
AAPL,97.72,"2016-04-28 11:03:00",18612940
AAPL,97.7605,"2016-04-28 11:04:00",18675949
AAPL,97.7699,"2016-04-28 11:05:00",18801841
AAPL,97.821,"2016-04-28 11:06:00",18917908
AAPL,97.81,"2016-04-28 11:06:00",18991385
AAPL,97.7138,"2016-04-28 11:08:00",19103994
AAPL,97.71,"2016-04-28 11:09:00",19176954
AAPL,97.659,"2016-04-28 11:10:00",19331083
AAPL,97.58,"2016-04-28 11:11:00",19486318
AAPL,97.55,"2016-04-28 11:12:00",19541511
AAPL,97.585,"2016-04-28 11:13:00",19641985
AAPL,97.51,"2016-04-28 11:14:00",19704856
AAPL,97.525,"2016-04-28 11:15:00",19808115
AAPL,97.554,"2016-04-28 11:15:00",19904544
AAPL,97.4399,"2016-04-28 11:17:00",20085405
AAPL,97.405,"2016-04-28 11:18:00",20186774
AAPL,97.3637,"2016-04-28 11:19:00",20278493
AAPL,97.315,"2016-04-28 11:20:00",20373500
AAPL,97.325,"2016-04-28 11:21:00",20531474
AAPL,97.3,"2016-04-28 11:22:00",20684657
AAPL,97.28,"2016-04-28 11:23:00",20805880
AAPL,97.5,"2016-04-28 11:29:00",21475587
AAPL,97.45,"2016-04-28 11:30:00",21558400
AAPL,97.45,"2016-04-28 11:31:00",21630527
AAPL,97.465,"2016-04-28 11:32:00",21706211
AAPL,97.5629,"2016-04-28 11:32:00",21803234
AAPL,97.515,"2016-04-28 11:34:00",21886313
AAPL,97.54,"2016-04-28 11:35:00",21937639
AAPL,97.55,"2016-04-28 11:35:00",22002380
AAPL,97.51,"2016-04-28 11:37:00",22112985
AAPL,97.45,"2016-04-28 11:38:00",22169602
AAPL,97.43,"2016-04-28 11:39:00",22264866
AAPL,97.42,"2016-04-28 11:40:00",22331062
AAPL,97.4253,"2016-04-28 11:40:00",22372030
AAPL,97.48,"2016-04-28 11:41:00",22461697
AAPL,97.45,"2016-04-28 11:43:00",22561373
AAPL,97.43,"2016-04-28 11:44:00",22612843
AAPL,97.44,"2016-04-28 11:44:00",22669718
