stockid,open,high,low,close,histtime,volume
CSCO,23.15,23.24,22.79,23.02,2014-04-28,36817100
CSCO,23.2,23.21,23.06,23.16,2014-04-29,14582400
CSCO,23.08,23.14,22.92,23.11,2014-04-30,23948500
CSCO,23.14,23.15,22.91,23.01,2014-05-01,17463700
CSCO,23.11,23.12,22.9,22.94,2014-05-02,18757000
CSCO,22.9,23,22.72,22.96,2014-05-05,17859200
CSCO,22.84,22.89,22.63,22.72,2014-05-06,21815200
CSCO,22.72,22.9,22.43,22.87,2014-05-07,38895200
CSCO,22.9,23.17,22.76,23.02,2014-05-08,32181400
CSCO,22.96,23.11,22.92,23.02,2014-05-09,22593900
CSCO,23.04,23.34,23,23.19,2014-05-12,40216100
CSCO,23.14,23.21,22.76,22.86,2014-05-13,57933100
CSCO,22.92,23.05,22.63,22.81,2014-05-14,59330100
CSCO,24.27,24.69,24.12,24.18,2014-05-15,120944500
CSCO,24.14,24.45,24.06,24.37,2014-05-16,40477000
CSCO,24.24,24.45,24.12,24.35,2014-05-19,39388900
CSCO,24.26,24.39,24.02,24.12,2014-05-20,56321600
CSCO,24.22,24.65,24.17,24.48,2014-05-21,65262600
CSCO,24.42,24.54,24.29,24.38,2014-05-22,26751000
CSCO,24.38,24.57,24.35,24.52,2014-05-23,27778000
CSCO,24.74,24.88,24.63,24.71,2014-05-27,32365700
CSCO,24.63,24.93,24.63,24.82,2014-05-28,28650600
CSCO,24.85,24.92,24.56,24.68,2014-05-29,21642000
CSCO,24.71,24.75,24.48,24.62,2014-05-30,29381600
CSCO,24.64,24.8,24.56,24.78,2014-06-02,20393300
CSCO,24.75,24.82,24.45,24.68,2014-06-03,23339100
CSCO,24.61,24.65,24.4,24.5,2014-06-04,20635100
CSCO,24.62,24.74,24.41,24.7,2014-06-05,23320300
CSCO,24.73,24.95,24.71,24.83,2014-06-06,22485100
CSCO,24.79,24.95,24.72,24.8,2014-06-09,18818400
CSCO,24.73,25.1,24.6,25,2014-06-10,36582000
CSCO,24.85,25.17,24.79,25.04,2014-06-11,36170300
CSCO,24.95,25.01,24.62,24.66,2014-06-12,26900400
CSCO,24.67,24.78,24.6,24.7,2014-06-13,20947600
CSCO,24.52,24.73,24.45,24.53,2014-06-16,19251300
CSCO,24.49,24.62,24.41,24.5,2014-06-17,17972800
CSCO,24.7,24.75,24.46,24.63,2014-06-18,24723700
CSCO,24.62,24.71,24.45,24.71,2014-06-19,20646800
CSCO,24.63,24.9,24.61,24.83,2014-06-20,39707300
CSCO,24.81,24.9,24.65,24.7,2014-06-23,18751100
CSCO,24.62,24.74,24.52,24.53,2014-06-24,24302000
CSCO,24.55,24.78,24.41,24.72,2014-06-25,22579500
CSCO,24.66,24.81,24.48,24.65,2014-06-26,19134400
CSCO,24.6,24.78,24.48,24.7,2014-06-27,34999300
CSCO,24.67,24.9,24.62,24.85,2014-06-30,23992100
CSCO,24.99,25.11,24.77,25.08,2014-07-01,34613200
CSCO,24.97,25.14,24.87,25.03,2014-07-02,30197200
CSCO,25.15,25.25,25.13,25.19,2014-07-03,19598800
CSCO,25,25.25,24.97,25.23,2014-07-07,21293500
CSCO,25.21,25.31,25.06,25.07,2014-07-08,34622900
CSCO,25.22,25.5,25.14,25.44,2014-07-09,35610300
