stockid,price,realtime,volume
CSCO,28.445,"2016-04-28 11:29:00",7052542
CSCO,28.44,"2016-04-28 11:30:00",7077954
CSCO,28.435,"2016-04-28 11:30:00",7095236
CSCO,28.43,"2016-04-28 11:31:00",7107504
CSCO,28.42,"2016-04-28 11:32:00",7146893
CSCO,28.42,"2016-04-28 11:33:00",7202142
CSCO,28.4319,"2016-04-28 11:34:00",7224466
CSCO,28.42,"2016-04-28 11:35:00",7291957
CSCO,28.41,"2016-04-28 11:37:00",7327327
CSCO,28.415,"2016-04-28 11:37:00",7337522
CSCO,28.405,"2016-04-28 11:38:00",7367773
CSCO,28.4,"2016-04-28 11:39:00",7381910
CSCO,28.405,"2016-04-28 11:41:00",7387813
CSCO,28.4,"2016-04-28 11:41:00",7399066
CSCO,28.39,"2016-04-28 11:43:00",7422881
CSCO,28.4,"2016-04-28 11:43:00",7432156
CSCO,28.395,"2016-04-28 11:44:00",7443897
CSCO,28.41,"2016-04-28 11:45:00",7521225
CSCO,28.41,"2016-04-28 11:46:00",7546574
CSCO,28.405,"2016-04-28 11:47:00",7567841
CSCO,28.395,"2016-04-28 11:49:00",7588462
CSCO,28.39,"2016-04-28 11:49:00",7618831
CSCO,28.41,"2016-04-28 11:50:00",7633094
CSCO,28.395,"2016-04-28 11:52:00",8202393
CSCO,28.4,"2016-04-28 11:53:00",8245575
CSCO,28.405,"2016-04-28 11:54:00",8271104
CSCO,28.398,"2016-04-28 11:54:00",8288876
CSCO,28.39,"2016-04-28 11:56:00",8301432
CSCO,28.39,"2016-04-28 11:56:00",8311006
CSCO,28.385,"2016-04-28 11:58:00",8332359
CSCO,28.405,"2016-04-28 11:59:00",8373886
CSCO,28.41,"2016-04-29 00:00:00",8399231
CSCO,28.405,"2016-04-29 00:00:00",8422798
CSCO,28.41,"2016-04-29 00:01:00",8438434
CSCO,28.4,"2016-04-29 00:02:00",8445133
CSCO,28.39,"2016-04-29 00:04:00",8500430
CSCO,28.37,"2016-04-29 00:04:00",8579423
CSCO,28.37,"2016-04-29 00:05:00",8596415
CSCO,28.38,"2016-04-29 00:07:00",8615532
CSCO,28.37,"2016-04-29 00:07:00",8624274
CSCO,28.37,"2016-04-29 00:08:00",8640691
CSCO,28.3701,"2016-04-29 00:09:00",8666111
CSCO,28.38,"2016-04-29 00:10:00",8669586
CSCO,28.38,"2016-04-29 00:11:00",8675932
CSCO,28.375,"2016-04-29 00:12:00",8697371
CSCO,28.37,"2016-04-29 00:14:00",8713187
CSCO,28.345,"2016-04-29 00:14:00",8788316
CSCO,28.34,"2016-04-29 00:15:00",8810116
CSCO,28.35,"2016-04-29 00:16:00",8834570
CSCO,28.36,"2016-04-29 00:17:00",8841152
CSCO,28.34,"2016-04-29 00:18:00",8866612
CSCO,28.335,"2016-04-29 00:19:00",8880191
CSCO,28.3315,"2016-04-29 00:20:00",8909366
CSCO,28.335,"2016-04-29 00:22:00",8927021
CSCO,28.3363,"2016-04-29 00:23:00",8957564
CSCO,28.335,"2016-04-29 00:24:00",8965435
CSCO,28.335,"2016-04-29 00:24:00",9009503
CSCO,28.325,"2016-04-29 00:25:00",9031927
CSCO,28.33,"2016-04-29 00:26:00",9089653
CSCO,28.31,"2016-04-29 00:28:00",9115713
CSCO,28.31,"2016-04-29 00:28:00",9161514
CSCO,28.32,"2016-04-29 00:30:00",9179977
CSCO,28.305,"2016-04-29 00:31:00",9235269
CSCO,28.305,"2016-04-29 00:31:00",9243909
CSCO,28.295,"2016-04-29 00:33:00",9361387
CSCO,28.28,"2016-04-29 00:34:00",9671199
CSCO,28.29,"2016-04-29 00:35:00",10161572
CSCO,28.28,"2016-04-29 00:35:00",10177649
CSCO,28.28,"2016-04-29 00:36:00",10257044
CSCO,28.28,"2016-04-29 00:38:00",10314714
CSCO,28.275,"2016-04-29 00:38:00",10366965
CSCO,28.2862,"2016-04-29 00:39:00",10402708
CSCO,28.285,"2016-04-29 00:40:00",10421732
CSCO,28.27,"2016-04-29 00:42:00",10511273
CSCO,28.26,"2016-04-29 00:43:00",10583406
CSCO,28.25,"2016-04-29 00:44:00",10626752
CSCO,28.2262,"2016-04-29 00:44:00",10807414
CSCO,28.26,"2016-04-29 00:46:00",10873270
CSCO,28.26,"2016-04-29 00:47:00",10899788
CSCO,28.25,"2016-04-29 00:48:00",10958285
CSCO,28.245,"2016-04-29 00:48:00",10977629
CSCO,28.2462,"2016-04-29 00:50:00",10990474
CSCO,28.235,"2016-04-29 00:50:00",11014009
CSCO,28.235,"2016-04-29 00:52:00",11028857
CSCO,28.25,"2016-04-29 00:52:00",11067577
