stockid,price,realtime,volume
FB,119.29,"2016-04-28 10:47:00",40984319
FB,119.34,"2016-04-28 10:48:00",41225910
FB,119.29,"2016-04-28 10:49:00",41385301
FB,119.33,"2016-04-28 10:50:00",41538152
FB,119.21,"2016-04-28 10:51:00",41642977
FB,119.04,"2016-04-28 10:52:00",42134880
FB,119.04,"2016-04-28 10:53:00",42320698
FB,119.09,"2016-04-28 10:53:00",42556324
FB,119.063,"2016-04-28 10:55:00",42703057
FB,119.195,"2016-04-28 10:56:00",42856049
FB,119.5,"2016-04-28 10:56:00",43266462
FB,119.37,"2016-04-28 10:57:00",43494249
FB,119.36,"2016-04-28 10:59:00",43594983
FB,119.32,"2016-04-28 11:00:00",43752541
FB,119.32,"2016-04-28 11:00:00",43840959
FB,119.366,"2016-04-28 11:02:00",43972788
FB,119.261,"2016-04-28 11:03:00",44478020
FB,119.34,"2016-04-28 11:04:00",44558243
FB,119.35,"2016-04-28 11:05:00",44674678
FB,119.38,"2016-04-28 11:06:00",44752901
FB,119.37,"2016-04-28 11:06:00",44843209
FB,119.34,"2016-04-28 11:08:00",45032785
FB,119.37,"2016-04-28 11:09:00",45138502
FB,119.111,"2016-04-28 11:10:00",45336906
FB,119.09,"2016-04-28 11:11:00",45587364
FB,119.09,"2016-04-28 11:12:00",45793634
FB,119.065,"2016-04-28 11:12:00",45875058
FB,118.84,"2016-04-28 11:14:00",46130562
FB,118.83,"2016-04-28 11:15:00",46431195
FB,118.983,"2016-04-28 11:15:00",46562386
FB,118.945,"2016-04-28 11:17:00",46663785
FB,119.049,"2016-04-28 11:18:00",46826372
FB,118.94,"2016-04-28 11:19:00",46964618
FB,118.8,"2016-04-28 11:20:00",47105265
FB,118.91,"2016-04-28 11:21:00",47241707
FB,118.81,"2016-04-28 11:22:00",47340207
FB,118.85,"2016-04-28 11:23:00",47427667
FB,118.94,"2016-04-28 11:29:00",48185208
FB,119.12,"2016-04-28 11:30:00",48515492
FB,119.22,"2016-04-28 11:31:00",48668389
FB,119.2,"2016-04-28 11:32:00",48799208
FB,119.17,"2016-04-28 11:32:00",48871885
FB,119.11,"2016-04-28 11:34:00",48972163
FB,119.164,"2016-04-28 11:35:00",49031347
FB,119.2,"2016-04-28 11:35:00",49097964
FB,119.05,"2016-04-28 11:37:00",49213122
FB,119.1,"2016-04-28 11:38:00",49294391
FB,119.3,"2016-04-28 11:39:00",49524548
FB,119.33,"2016-04-28 11:40:00",49662439
FB,119.379,"2016-04-28 11:41:00",49741284
FB,119.35,"2016-04-28 11:41:00",49811704
FB,119.4,"2016-04-28 11:43:00",49941152
FB,119.374,"2016-04-28 11:44:00",50035774
FB,119.39,"2016-04-28 11:45:00",50093642
FB,119.37,"2016-04-28 11:45:00",50279043
FB,119.305,"2016-04-28 11:46:00",50381218
FB,119.3,"2016-04-28 11:47:00",50468801
FB,119.16,"2016-04-28 11:48:00",50551841
FB,119.07,"2016-04-28 11:50:00",50623491
FB,119.16,"2016-04-28 11:51:00",50725528
FB,119.07,"2016-04-28 11:52:00",50848746
FB,119.03,"2016-04-28 11:53:00",50932572
FB,119.035,"2016-04-28 11:54:00",51017510
FB,119.04,"2016-04-28 11:55:00",51195445
FB,119.05,"2016-04-28 11:56:00",51255919
FB,119.065,"2016-04-28 11:56:00",51311009
FB,119.05,"2016-04-28 11:58:00",51386732
FB,119.1,"2016-04-28 11:59:00",51453576
FB,118.92,"2016-04-29 00:00:00",51744121
FB,118.9,"2016-04-29 00:00:00",51865767
FB,118.98,"2016-04-29 00:01:00",51996215
FB,118.98,"2016-04-29 00:03:00",52106616
FB,118.9,"2016-04-29 00:04:00",52225323
FB,118.9,"2016-04-29 00:05:00",52354334
FB,118.93,"2016-04-29 00:06:00",52450734
FB,118.87,"2016-04-29 00:07:00",52601262
FB,118.8,"2016-04-29 00:08:00",52749996
FB,118.755,"2016-04-29 00:09:00",52878873
FB,118.79,"2016-04-29 00:10:00",53012941
FB,118.8,"2016-04-29 00:11:00",53123362
FB,118.87,"2016-04-29 00:12:00",53226187
FB,118.81,"2016-04-29 00:13:00",53325821
FB,118.71,"2016-04-29 00:14:00",53557746
FB,118.445,"2016-04-29 00:15:00",54053345
FB,118.593,"2016-04-29 00:16:00",54249600
FB,118.68,"2016-04-29 00:17:00",54357163
FB,118.51,"2016-04-29 00:17:00",54476509
FB,118.56,"2016-04-29 00:19:00",54570167
FB,118.51,"2016-04-29 00:19:00",54666648
FB,118.516,"2016-04-29 00:20:00",54832494
FB,118.52,"2016-04-29 00:22:00",54955819
FB,118.52,"2016-04-29 00:23:00",55051343
FB,118.51,"2016-04-29 00:24:00",55179151
FB,118.31,"2016-04-29 00:25:00",55342494
FB,118.306,"2016-04-29 00:25:00",55614902
FB,118.31,"2016-04-29 00:27:00",55800597
FB,118.25,"2016-04-29 00:28:00",55889245
FB,118.236,"2016-04-29 00:29:00",56202695
FB,118.1,"2016-04-29 00:30:00",56341902
FB,118.11,"2016-04-29 00:31:00",56682747
FB,118.209,"2016-04-29 00:32:00",56811157
FB,118.28,"2016-04-29 00:33:00",56902937
FB,118.34,"2016-04-29 00:34:00",57053385
FB,118.26,"2016-04-29 00:35:00",57107163
FB,118.05,"2016-04-29 00:35:00",57209186
FB,118.084,"2016-04-29 00:37:00",57549544
FB,118.12,"2016-04-29 00:37:00",57614065
FB,118.203,"2016-04-29 00:39:00",57700339
FB,118.22,"2016-04-29 00:40:00",57783408
FB,118.28,"2016-04-29 00:41:00",57886727
FB,118.1,"2016-04-29 00:42:00",58003468
FB,118.16,"2016-04-29 00:43:00",58095996
FB,118.114,"2016-04-29 00:44:00",58145380
FB,118.065,"2016-04-29 00:44:00",58250812
FB,118.05,"2016-04-29 00:46:00",58334296
FB,118.074,"2016-04-29 00:47:00",58537863
FB,118.004,"2016-04-29 00:48:00",58621056
FB,117.82,"2016-04-29 00:48:00",58845430
FB,117.846,"2016-04-29 00:50:00",59042494
FB,117.69,"2016-04-29 00:51:00",59223573
FB,117.7,"2016-04-29 00:52:00",59593067
FB,117.748,"2016-04-29 00:52:00",59815206
FB,117.75,"2016-04-29 00:54:00",60029635
FB,117.97,"2016-04-29 00:55:00",60168805
FB,118.02,"2016-04-29 00:56:00",60364053
FB,118,"2016-04-29 00:57:00",60443066
FB,118.127,"2016-04-29 00:58:00",60562410
FB,117.96,"2016-04-29 00:59:00",60768720
FB,117.816,"2016-04-28 13:00:00",60935399
FB,117.76,"2016-04-28 13:01:00",61085621
FB,117.65,"2016-04-28 13:02:00",61226595
FB,117.4,"2016-04-28 13:03:00",61678493
FB,117.34,"2016-04-28 13:05:00",62069749
FB,117.35,"2016-04-28 13:06:00",62320704
FB,117.294,"2016-04-28 13:07:00",62461682
FB,117.38,"2016-04-28 13:07:00",62605098
FB,117.234,"2016-04-28 13:09:00",62800129
FB,117.18,"2016-04-28 13:10:00",62985358
FB,117.157,"2016-04-28 13:11:00",63181794
FB,117.08,"2016-04-28 13:12:00",63601848
FB,117.13,"2016-04-28 13:13:00",63780076
FB,117.17,"2016-04-28 13:14:00",63938066
FB,117.27,"2016-04-28 13:15:00",64141131
FB,117.282,"2016-04-28 13:16:00",64231180
FB,117.16,"2016-04-28 13:17:00",64339199
FB,117.205,"2016-04-28 13:18:00",64429470
FB,117.245,"2016-04-28 13:19:00",64561135
FB,117.27,"2016-04-28 13:20:00",64691073
FB,117.37,"2016-04-28 13:20:00",64852404
FB,117.325,"2016-04-28 13:22:00",65069578
FB,117.398,"2016-04-28 13:23:00",65238328
FB,117.47,"2016-04-28 13:23:00",65387125
FB,117.58,"2016-04-28 13:25:00",65559478
FB,117.669,"2016-04-28 13:26:00",65730138
FB,117.69,"2016-04-28 13:27:00",65848467
FB,117.835,"2016-04-28 13:28:00",66043861
FB,117.814,"2016-04-28 13:29:00",66184804
FB,117.89,"2016-04-28 13:29:00",66338450
FB,117.84,"2016-04-28 13:31:00",66500307
FB,117.73,"2016-04-28 13:31:00",66670183
FB,117.88,"2016-04-28 13:34:00",66935653
FB,117.86,"2016-04-28 13:35:00",67039333
FB,117.8,"2016-04-28 13:36:00",67140453
FB,117.82,"2016-04-28 13:37:00",67223788
FB,117.79,"2016-04-28 13:38:00",67316692
FB,117.7,"2016-04-28 13:39:00",67393366
FB,117.57,"2016-04-28 13:40:00",67502708
FB,117.39,"2016-04-28 13:41:00",67625309
FB,117.37,"2016-04-28 13:41:00",67757710
FB,117.42,"2016-04-28 13:42:00",67857077
FB,117.37,"2016-04-28 13:44:00",67944582
FB,117.37,"2016-04-28 13:45:00",68017775
FB,117.198,"2016-04-28 13:46:00",68144016
FB,117.27,"2016-04-28 13:46:00",68220805
FB,117.32,"2016-04-28 13:48:00",68343282
FB,117.32,"2016-04-28 13:49:00",68406514
FB,117.39,"2016-04-28 13:50:00",68472627
FB,117.445,"2016-04-28 13:51:00",68564929
FB,117.56,"2016-04-28 13:52:00",68711097
FB,117.678,"2016-04-28 13:53:00",68873430
FB,117.65,"2016-04-28 13:54:00",68955542
FB,117.57,"2016-04-28 13:55:00",69001616
FB,117.65,"2016-04-28 13:56:00",69139029
FB,117.56,"2016-04-28 13:57:00",69220380
FB,117.35,"2016-04-28 13:58:00",69394310
FB,117.355,"2016-04-28 13:59:00",69453461
FB,117.429,"2016-04-28 14:00:00",69570008
FB,117.22,"2016-04-28 14:00:00",69688540
FB,117.654,"2016-04-28 14:27:00",72011531
FB,117.75,"2016-04-28 14:27:00",72109568
FB,117.742,"2016-04-28 14:29:00",72196435
FB,117.69,"2016-04-28 14:30:00",72257645
FB,117.64,"2016-04-28 14:31:00",72310977
FB,117.654,"2016-04-28 14:32:00",72386863
FB,117.72,"2016-04-28 14:32:00",72438652
FB,117.746,"2016-04-28 14:34:00",72499067
FB,117.69,"2016-04-28 14:35:00",72539654
FB,117.83,"2016-04-28 14:35:00",72575456
FB,117.795,"2016-04-28 14:37:00",72646398
FB,117.735,"2016-04-28 14:38:00",72732467
FB,117.6,"2016-04-28 14:39:00",72980527
FB,117.64,"2016-04-28 14:40:00",73060499
