stockid,open,high,low,close,histtime,volume
GOOG,517.182,518.602,502.802,517.152,2014-04-28,3335500
GOOG,516.902,529.462,516.322,527.702,2014-04-29,2699000
GOOG,527.602,528.002,522.522,526.662,2014-04-30,1751100
GOOG,527.112,532.932,523.882,531.352,2014-05-01,1905500
GOOG,533.762,534.002,525.612,527.932,2014-05-02,1688500
GOOG,524.822,528.902,521.322,527.812,2014-05-05,1024100
GOOG,525.232,526.812,515.062,515.142,2014-05-06,1689000
GOOG,515.792,516.682,503.302,509.962,2014-05-07,3224300
GOOG,508.462,517.232,506.452,511.002,2014-05-08,2021300
GOOG,510.752,519.902,504.202,518.732,2014-05-09,2439400
GOOG,523.512,530.192,519.012,529.922,2014-05-12,1912500
GOOG,530.892,536.072,529.512,533.092,2014-05-13,1653400
GOOG,533.002,533.002,525.292,526.652,2014-05-14,1191700
GOOG,525.702,525.872,517.422,519.982,2014-05-15,1704300
GOOG,521.392,521.802,515.442,520.632,2014-05-16,1485200
GOOG,519.702,529.782,517.585,528.862,2014-05-19,1277700
GOOG,529.742,536.232,526.302,529.772,2014-05-20,1784700
GOOG,532.902,539.185,531.912,538.942,2014-05-21,1196200
GOOG,541.132,547.602,540.782,545.062,2014-05-22,1615800
GOOG,547.262,553.643,543.702,552.703,2014-05-23,1932100
GOOG,556.003,566.003,554.353,565.953,2014-05-27,2104100
GOOG,564.573,567.843,561.003,561.683,2014-05-28,1652000
GOOG,563.353,564.003,558.713,560.083,2014-05-29,1354100
GOOG,560.803,561.353,555.913,559.893,2014-05-30,1771100
GOOG,560.703,560.903,545.732,553.932,2014-06-02,1435000
GOOG,550.992,552.342,542.552,544.942,2014-06-03,1866600
GOOG,541.502,548.612,538.752,544.662,2014-06-04,1816400
GOOG,546.403,554.953,544.452,553.903,2014-06-05,1689100
GOOG,558.062,558.062,548.932,556.333,2014-06-06,1736700
GOOG,557.153,562.903,556.043,562.123,2014-06-09,1467500
GOOG,560.513,563.603,557.903,560.552,2014-06-10,1351700
GOOG,558.003,559.883,555.023,558.843,2014-06-11,1100100
GOOG,557.302,557.992,548.462,551.352,2014-06-12,1458400
GOOG,552.263,552.303,545.562,551.762,2014-06-13,1220500
GOOG,549.263,549.622,541.522,544.282,2014-06-16,1702500
GOOG,544.202,545.322,539.332,543.012,2014-06-17,1444500
GOOG,544.862,553.562,544.003,553.372,2014-06-18,1741700
GOOG,554.242,555.003,548.512,554.902,2014-06-19,2456800
GOOG,556.853,557.583,550.394,556.362,2014-06-20,4508300
GOOG,555.153,565.003,554.253,564.953,2014-06-23,1536800
GOOG,565.193,572.649,561.013,564.623,2014-06-24,2207100
GOOG,565.263,579.963,565.223,578.653,2014-06-25,1969300
GOOG,581.003,582.453,571.853,576.003,2014-06-26,1741900
GOOG,577.183,579.873,573.803,577.243,2014-06-27,2236900
GOOG,578.663,579.573,574.753,575.283,2014-06-30,1313700
GOOG,578.323,584.403,576.653,582.673,2014-07-01,1447900
GOOG,583.353,585.443,580.393,582.338,2014-07-02,1056300
GOOG,583.353,585.013,580.923,584.733,2014-07-03,714100
GOOG,583.763,586.433,579.593,582.253,2014-07-07,1064600
GOOG,577.663,579.531,566.138,571.093,2014-07-08,1909500
GOOG,571.583,576.723,569.379,576.083,2014-07-09,1116700
