stockid,price,realtime,volume
GOOG,707.85,"2016-04-28 10:47:00",675243
GOOG,708.01,"2016-04-28 10:47:00",679428
GOOG,707.725,"2016-04-28 10:49:00",688647
GOOG,707.36,"2016-04-28 10:49:00",696779
GOOG,707.39,"2016-04-28 10:50:00",699687
GOOG,707.16,"2016-04-28 10:51:00",705549
GOOG,706.642,"2016-04-28 10:52:00",711098
GOOG,706.614,"2016-04-28 10:53:00",720526
GOOG,706.36,"2016-04-28 10:54:00",728990
GOOG,706.85,"2016-04-28 10:55:00",732133
GOOG,707.097,"2016-04-28 10:56:00",735136
GOOG,707.19,"2016-04-28 10:57:00",737854
GOOG,707.77,"2016-04-28 10:58:00",740608
GOOG,707.33,"2016-04-28 11:00:00",746571
GOOG,707.04,"2016-04-28 11:00:00",748201
GOOG,706.91,"2016-04-28 11:01:00",750759
GOOG,706.77,"2016-04-28 11:02:00",753169
GOOG,707.496,"2016-04-28 11:03:00",755135
GOOG,707,"2016-04-28 11:04:00",757934
GOOG,707.457,"2016-04-28 11:05:00",761921
GOOG,707.25,"2016-04-28 11:06:00",763942
GOOG,707.25,"2016-04-28 11:07:00",767202
GOOG,707.26,"2016-04-28 11:08:00",769690
GOOG,706.78,"2016-04-28 11:09:00",771741
GOOG,706.84,"2016-04-28 11:10:00",773536
GOOG,707.074,"2016-04-28 11:11:00",774417
GOOG,706.85,"2016-04-28 11:12:00",775546
GOOG,706.95,"2016-04-28 11:13:00",777262
GOOG,707.07,"2016-04-28 11:15:00",780367
GOOG,707.63,"2016-04-28 11:15:00",789192
GOOG,707.36,"2016-04-28 11:17:00",792926
GOOG,707.74,"2016-04-28 11:17:00",794862
GOOG,708.18,"2016-04-28 11:18:00",798246
GOOG,707.89,"2016-04-28 11:19:00",799961
GOOG,708.53,"2016-04-28 11:20:00",804324
GOOG,708.29,"2016-04-28 11:21:00",805585
GOOG,708.09,"2016-04-28 11:23:00",815534
GOOG,708.49,"2016-04-28 11:28:00",833366
GOOG,708,"2016-04-28 11:29:00",837470
GOOG,708.81,"2016-04-28 11:30:00",840753
GOOG,708.458,"2016-04-28 11:31:00",841180
GOOG,708.24,"2016-04-28 11:32:00",844390
GOOG,708.12,"2016-04-28 11:33:00",846066
GOOG,708.25,"2016-04-28 11:34:00",848236
GOOG,708.225,"2016-04-28 11:35:00",852891
GOOG,708.4,"2016-04-28 11:37:00",860009
GOOG,708.49,"2016-04-28 11:38:00",863404
GOOG,708.3,"2016-04-28 11:38:00",867661
GOOG,708.52,"2016-04-28 11:40:00",869114
GOOG,708.335,"2016-04-28 11:40:00",875017
GOOG,708.02,"2016-04-28 11:41:00",880149
GOOG,708.259,"2016-04-28 11:42:00",882871
GOOG,708.2,"2016-04-28 11:43:00",883999
GOOG,708.4,"2016-04-28 11:44:00",885016
GOOG,708.39,"2016-04-28 11:45:00",886691
GOOG,707.882,"2016-04-28 11:46:00",890237
GOOG,707.62,"2016-04-28 11:47:00",899263
GOOG,707.13,"2016-04-28 11:48:00",902561
GOOG,706.89,"2016-04-28 11:49:00",905441
GOOG,706.95,"2016-04-28 11:50:00",907948
GOOG,706.965,"2016-04-28 11:51:00",909432
GOOG,707.08,"2016-04-28 11:52:00",910697
GOOG,707.09,"2016-04-28 11:53:00",912703
GOOG,707.255,"2016-04-28 11:54:00",912970
GOOG,707.35,"2016-04-28 11:55:00",914363
GOOG,707.1,"2016-04-28 11:56:00",914821
GOOG,707.13,"2016-04-28 11:57:00",916184
GOOG,707.07,"2016-04-28 11:58:00",919505
GOOG,707.028,"2016-04-28 11:59:00",921920
GOOG,707.05,"2016-04-29 00:00:00",923328
GOOG,706.85,"2016-04-29 00:02:00",926148
GOOG,706.94,"2016-04-29 00:02:00",929685
GOOG,706.53,"2016-04-29 00:03:00",934346
GOOG,706.26,"2016-04-29 00:04:00",939732
GOOG,706.33,"2016-04-29 00:05:00",942473
GOOG,706.15,"2016-04-29 00:07:00",948149
GOOG,705.71,"2016-04-29 00:08:00",956028
GOOG,705.515,"2016-04-29 00:08:00",959849
GOOG,705.73,"2016-04-29 00:09:00",963314
GOOG,705.82,"2016-04-29 00:10:00",966780
GOOG,705.38,"2016-04-29 00:11:00",970180
GOOG,705.39,"2016-04-29 00:12:00",971475
GOOG,705.41,"2016-04-29 00:13:00",974958
GOOG,705.12,"2016-04-29 00:14:00",982778
GOOG,704.9,"2016-04-29 00:16:00",991698
GOOG,704.17,"2016-04-29 00:16:00",998058
GOOG,703.86,"2016-04-29 00:17:00",1003127
GOOG,703.28,"2016-04-29 00:18:00",1012810
GOOG,703.17,"2016-04-29 00:19:00",1016373
GOOG,702.68,"2016-04-29 00:20:00",1018941
GOOG,702.84,"2016-04-29 00:21:00",1029062
GOOG,702.64,"2016-04-29 00:22:00",1031873
GOOG,702.56,"2016-04-29 00:23:00",1038833
GOOG,702.301,"2016-04-29 00:24:00",1047389
GOOG,702.64,"2016-04-29 00:25:00",1051578
GOOG,702.96,"2016-04-29 00:26:00",1054786
GOOG,702.91,"2016-04-29 00:27:00",1057482
GOOG,702.57,"2016-04-29 00:28:00",1067192
GOOG,702.6,"2016-04-29 00:29:00",1070943
GOOG,702.28,"2016-04-29 00:31:00",1075864
GOOG,702.18,"2016-04-29 00:31:00",1078959
GOOG,702.445,"2016-04-29 00:33:00",1083620
GOOG,702.37,"2016-04-29 00:33:00",1085174
GOOG,702.24,"2016-04-29 00:34:00",1088835
GOOG,702,"2016-04-29 00:35:00",1094494
GOOG,701.8,"2016-04-29 00:36:00",1103538
GOOG,701.6,"2016-04-29 00:38:00",1109943
GOOG,701.65,"2016-04-29 00:38:00",1112059
GOOG,701.51,"2016-04-29 00:39:00",1116033
GOOG,701.51,"2016-04-29 00:40:00",1122259
GOOG,700.86,"2016-04-29 00:42:00",1132390
GOOG,700.81,"2016-04-29 00:43:00",1136631
GOOG,700.327,"2016-04-29 00:43:00",1139040
GOOG,700.12,"2016-04-29 00:44:00",1151913
GOOG,700.16,"2016-04-29 00:46:00",1156451
GOOG,700.22,"2016-04-29 00:47:00",1164852
GOOG,700.51,"2016-04-29 00:48:00",1168552
GOOG,700.26,"2016-04-29 00:48:00",1174654
GOOG,700.31,"2016-04-29 00:50:00",1178193
GOOG,700.05,"2016-04-29 00:50:00",1194217
GOOG,699.99,"2016-04-29 00:51:00",1200844
