stockid,open,high,low,close,histtime,volume
LNKD,157.79,158.5,143.26,148.06,2014-04-28,7405100
LNKD,144.02,154.65,144.02,153.23,2014-04-29,4353800
LNKD,150.21,153.87,148.01,153.47,2014-04-30,2329200
LNKD,157.38,164.16,157.24,161.22,2014-05-01,6546800
LNKD,160.64,161.64,147.52,147.73,2014-05-02,10262100
LNKD,144.4,152.88,144.38,150.91,2014-05-05,4677500
LNKD,150.48,151.26,141.27,142.33,2014-05-06,5371800
LNKD,143.05,143.76,136.02,143.37,2014-05-07,5753100
LNKD,142.88,151.61,141.18,145.07,2014-05-08,4659700
LNKD,145,149.5,144.58,148.69,2014-05-09,2833800
LNKD,151.28,153.34,147.87,152.3,2014-05-12,2882400
LNKD,152.7,153.22,146.38,147.67,2014-05-13,2477000
LNKD,147.06,148.81,145.15,145.56,2014-05-14,2396500
LNKD,146,149.46,143.45,147.86,2014-05-15,2893200
LNKD,145.2,147.32,143.11,147.02,2014-05-16,2444900
LNKD,145.8,151.95,145.55,151.44,2014-05-19,2219500
LNKD,151,152.5,148.1,149.86,2014-05-20,2072000
LNKD,150.87,153.27,148.68,152.72,2014-05-21,1765100
LNKD,152.9,157,151.76,155.86,2014-05-22,2087800
LNKD,155.76,156.64,154.06,155.91,2014-05-23,1207700
LNKD,157,162.98,157,160.54,2014-05-27,2414200
LNKD,160.45,163,159,160.44,2014-05-28,1999400
LNKD,161.3,164.37,159.87,163.69,2014-05-29,2532000
LNKD,163.29,163.6,159.03,160.09,2014-05-30,2177000
LNKD,160.01,160.63,153,155.44,2014-06-02,2020600
LNKD,154.3,157.54,153.67,155.81,2014-06-03,1355700
LNKD,155.11,158,153,156.4,2014-06-04,1105400
LNKD,157.03,157.41,152.18,155.24,2014-06-05,1568000
LNKD,155.51,157.67,154.49,156.8,2014-06-06,921800
LNKD,156.4,158.82,155.35,156.39,2014-06-09,966100
LNKD,156.25,163.98,156,163.68,2014-06-10,2680700
LNKD,162.8,165.61,161.64,163.64,2014-06-11,1689500
LNKD,164,167.25,162.5,164.54,2014-06-12,2411800
LNKD,165.79,169.8,164.04,169.3,2014-06-13,3081000
LNKD,169.3,169.57,166.46,167.54,2014-06-16,1773500
LNKD,166,166.5,163.21,165.47,2014-06-17,1822000
LNKD,166.21,170.64,164.98,169.25,2014-06-18,2170100
LNKD,170.29,170.66,165.6,166.99,2014-06-19,1283700
LNKD,167.33,167.33,162.86,165.8,2014-06-20,1423500
LNKD,166.25,169.1,164.75,168.4,2014-06-23,1091600
LNKD,168.45,171.92,165.4,166.19,2014-06-24,1852600
LNKD,165.69,170.07,165,170,2014-06-25,1362900
LNKD,169.91,169.91,165.16,166.77,2014-06-26,1646400
LNKD,167.37,168.17,165.8,166.76,2014-06-27,1531400
LNKD,167.09,172.28,167,171.47,2014-06-30,1787900
LNKD,173.12,174.74,171.24,171.75,2014-07-01,1764300
LNKD,172.15,174.74,172.03,172.42,2014-07-02,1487500
LNKD,173.27,175.11,171.87,173.71,2014-07-03,1076500
LNKD,173.28,173.52,169.08,169.25,2014-07-07,1164900
LNKD,168.97,169.1,155.99,158.67,2014-07-08,3513100
LNKD,158.52,160.88,154,159.56,2014-07-09,2440800
LNKD,155.9,158.76,153.31,156.31,2014-07-10,2363800
LNKD,157.48,158.8,155.13,156.58,2014-07-11,1332700
LNKD,157.9,162.75,156.72,159.7,2014-07-14,1580900
LNKD,159.99,161,156.98,158.51,2014-07-15,1750100
LNKD,159.86,160,157.33,157.67,2014-07-16,958900
LNKD,157.96,159.5,156.3,157.21,2014-07-17,1458400
LNKD,158.3,160.86,157.78,159.99,2014-07-18,1250300
LNKD,159.58,163.13,159.03,161.96,2014-07-21,1314500
LNKD,162.77,165.61,162.31,165.5,2014-07-22,1963800
LNKD,166.61,172.39,166.07,171.78,2014-07-23,2677000
LNKD,173.7,178.55,172.3,178.05,2014-07-24,3194300
LNKD,177,178.82,176.01,177.44,2014-07-25,1457700
LNKD,177.23,178.94,174.72,178,2014-07-28,1515600
LNKD,178.05,179.92,176.83,179.74,2014-07-29,1635100
LNKD,182.1,187.4,181.12,187.29,2014-07-30,3158100
LNKD,186.74,186.95,178.76,180.64,2014-07-31,5383600
LNKD,196.21,201.78,192.56,201.78,2014-08-01,10507500
LNKD,200.05,204.06,198.62,202.5,2014-08-04,3053200
LNKD,200.3,205.72,200.3,204.65,2014-08-05,2573700
LNKD,202.3,205.69,202,203.57,2014-08-06,1701800
LNKD,204.09,208.75,203.25,206.76,2014-08-07,2060700
LNKD,207,208.26,204,208.12,2014-08-08,1649400
LNKD,209.09,214.07,209.09,212.9,2014-08-11,2113800
LNKD,212.07,213.84,210.07,213.38,2014-08-12,1179200
LNKD,214.1,216.33,213.5,215.14,2014-08-13,1411400
LNKD,216.16,219.01,215,218.36,2014-08-14,1552100
LNKD,218.87,220.01,214.23,219.86,2014-08-15,2439200
LNKD,216.51,220.55,216.33,218.66,2014-08-18,2280900
LNKD,218.76,221.94,216.4,216.71,2014-08-19,2043700
LNKD,215.53,218.86,214.8,217.92,2014-08-20,1101700
LNKD,218,219.48,216.64,219.2,2014-08-21,1068800
LNKD,218.4,227.42,217.37,226.4,2014-08-22,2687300
LNKD,227.6,227.8,221.72,222.48,2014-08-25,1899200
LNKD,223.25,226.59,221.52,225.36,2014-08-26,1173700
LNKD,225.1,225.52,222.65,224.2,2014-08-27,930300
LNKD,222.76,224.2,221.92,223.26,2014-08-28,1011700
LNKD,223.91,226.72,223.35,225.75,2014-08-29,1029500
LNKD,225.91,228.7,224.14,225,2014-09-02,1602600
LNKD,227.54,227.98,223.4,225.05,2014-09-03,1593100
LNKD,225.34,230.74,225.21,227.55,2014-09-04,1717300
LNKD,227.1,230.57,225.73,229.63,2014-09-05,1556000
LNKD,229.32,231.65,228.76,230.6,2014-09-08,985900
LNKD,230.66,232.28,227.38,228.74,2014-09-09,1270900
LNKD,229.49,231.29,226.73,231,2014-09-10,851800
LNKD,229.54,230.47,224.12,226.61,2014-09-11,1894700
LNKD,226.33,226.52,223.28,224.83,2014-09-12,1391700
LNKD,224.5,224.5,206.69,207.71,2014-09-15,3929500
LNKD,206.11,213.75,204.22,212.38,2014-09-16,2971500
LNKD,212.99,215.47,208.76,210.04,2014-09-17,1656800
LNKD,210.4,211.48,209.03,210.5,2014-09-18,1020600
LNKD,211,211.97,207.18,211.17,2014-09-19,1643200
LNKD,210.68,210.82,204.29,206.89,2014-09-22,1545900
LNKD,205.4,209.99,205.28,206.21,2014-09-23,1628500
LNKD,207.04,212.89,206.02,211.63,2014-09-24,1580900
LNKD,210.81,211.42,205.76,206.04,2014-09-25,1554100
LNKD,210.1,215.15,209.01,212.72,2014-09-26,1957800
LNKD,211.03,213.49,209.11,210.38,2014-09-29,980900
LNKD,210.26,211.96,205.55,207.79,2014-09-30,1268900
LNKD,207.42,208.2,201,203.08,2014-10-01,1872200
LNKD,203.4,208.39,200.8,207,2014-10-02,1524700
LNKD,210.09,213.4,207.74,210.87,2014-10-03,1455700
LNKD,211.89,213.63,207.72,208.22,2014-10-06,1190600
LNKD,207.84,208.77,204.03,204.39,2014-10-07,1199100
LNKD,204.35,207.08,192.19,207.07,2014-10-08,2065100
LNKD,206.84,206.98,200.65,201.99,2014-10-09,1682900
LNKD,200.67,205.22,194.13,194.23,2014-10-10,2397800
LNKD,195.06,199.24,189.2,193.13,2014-10-13,1843200
LNKD,195.01,199.64,193.21,196.02,2014-10-14,1034300
LNKD,192,200.85,191.45,199.62,2014-10-15,1538000
LNKD,188.69,202.48,187.61,198.39,2014-10-16,2032500
LNKD,201.66,201.66,195.5,195.96,2014-10-17,1415400
LNKD,195.7,199.5,193.22,198.44,2014-10-20,1033300
LNKD,201,206.89,200,205.38,2014-10-21,1524500
LNKD,206.4,206.4,198.28,198.52,2014-10-22,1442200
LNKD,202.98,204.78,199.55,202.62,2014-10-23,1062400
LNKD,201.5,203.49,199.2,202.1,2014-10-24,873100
LNKD,202.31,202.31,198.5,199.99,2014-10-27,956900
LNKD,199.12,205.8,198.63,205.35,2014-10-28,1293600
LNKD,202.99,202.99,197.12,199.51,2014-10-29,1742500
LNKD,198.46,203.74,195.5,202.9,2014-10-30,4365400
LNKD,224.24,232.23,222.73,228.96,2014-10-31,6947100
LNKD,228.21,236.15,226.44,233.08,2014-11-03,2936200
LNKD,232.49,238.77,231.87,238.43,2014-11-04,2463300
LNKD,235.96,236.68,218.18,218.18,2014-11-05,3769500
LNKD,221.84,226.98,221.25,224.65,2014-11-06,3299600
LNKD,224.65,226.42,222.18,223.04,2014-11-07,1363400
LNKD,221.75,230.28,221.66,229.25,2014-11-10,1482400
LNKD,229.21,231.46,226.12,231,2014-11-11,1050700
LNKD,230.88,231.44,228.2,231.13,2014-11-12,1022900
LNKD,231.9,234.79,228.51,229.77,2014-11-13,1366500
LNKD,230.06,234.83,229.72,233.89,2014-11-14,1395500
LNKD,229.44,230.69,219.44,223.28,2014-11-17,2756000
LNKD,219.28,225.5,219,221.07,2014-11-18,1973100
LNKD,220.1,222.1,216.38,219.61,2014-11-19,1288500
LNKD,218.5,222.26,217.11,220.3,2014-11-20,798400
LNKD,222.9,224.5,218,219.09,2014-11-21,1050200
LNKD,219.2,222,215.52,221.76,2014-11-24,1159500
LNKD,221.56,224.86,221.17,224.35,2014-11-25,1015600
LNKD,223.76,226.74,222.59,226.34,2014-11-26,969600
LNKD,225.72,227.9,224,226.27,2014-11-28,493200
LNKD,225.81,225.88,216.07,216.81,2014-12-01,1577200
LNKD,217.88,218.5,213.71,215.02,2014-12-02,1295900
LNKD,216.87,218.8,213.25,217.74,2014-12-03,1197900
LNKD,216.23,219.99,216.08,218.83,2014-12-04,774500
LNKD,218.26,219.03,216.02,218.08,2014-12-05,1185700
LNKD,216.9,218.43,209.5,211.94,2014-12-08,1908400
LNKD,207.04,215.68,205,215.47,2014-12-09,1172400
LNKD,215.38,218.41,214.03,215.07,2014-12-10,1297900
LNKD,215.19,220.75,214.2,217.36,2014-12-11,1154800
LNKD,214.97,221.86,214.27,219.9,2014-12-12,1278100
LNKD,221.71,223.17,217.87,218.02,2014-12-15,1072400
LNKD,215.83,221.63,214.94,215.57,2014-12-16,1423700
LNKD,216.53,220.6,215.1,219.78,2014-12-17,1143700
LNKD,224.05,232.3,223.56,231.84,2014-12-18,2370400
LNKD,232.81,243.25,231.32,234.61,2014-12-19,3310200
LNKD,234.71,235.25,231.01,233,2014-12-22,1398700
LNKD,235.19,238.19,230.88,231.49,2014-12-23,1278300
LNKD,231.24,234.73,230.21,231.83,2014-12-24,478400
LNKD,232.27,237.04,231.53,235.25,2014-12-26,790900
LNKD,235.3,237.19,232.41,233.34,2014-12-29,714800
LNKD,232.37,234.16,230.26,232.67,2014-12-30,533900
LNKD,233.09,233.7,229.11,229.71,2014-12-31,599800
LNKD,230.74,231.39,224.26,229.65,2015-01-02,1203000
LNKD,227.99,232.2,225.56,227.51,2015-01-05,1400600
LNKD,227.62,228.78,214.52,219.51,2015-01-06,2002700
LNKD,220.99,223.43,217.37,222.16,2015-01-07,985000
LNKD,223.59,228.72,220.77,227.05,2015-01-08,1289500
LNKD,227.8,230.15,224.09,227.13,2015-01-09,1515300
LNKD,226.61,229.01,221.71,223.13,2015-01-12,1654400
LNKD,226.1,228.39,221.37,223,2015-01-13,1583600
LNKD,220,224.71,218.03,219.43,2015-01-14,1366300
LNKD,220,221.55,212.83,213.21,2015-01-15,1368100
LNKD,213.12,217.59,209.6,214.18,2015-01-16,1108900
LNKD,215.22,215.9,210.09,213.06,2015-01-20,1020400
LNKD,213.39,219.58,210.31,219.2,2015-01-21,1194000
LNKD,220.36,226,217.14,224.94,2015-01-22,1416500
LNKD,229.49,235.37,227.1,232.22,2015-01-23,1912000
LNKD,232.21,232.35,224.58,226.36,2015-01-26,1857400
LNKD,222.06,224.53,219.59,222.62,2015-01-27,897500
LNKD,225.63,225.63,218.89,220.46,2015-01-28,939100
LNKD,219.89,223.67,215.73,223.04,2015-01-29,799400
LNKD,222.15,228.32,222.15,224.74,2015-01-30,1313600
LNKD,225.55,226.44,219.16,224.57,2015-02-02,1111100
LNKD,230.72,235.5,228,232.76,2015-02-03,2394400
LNKD,232.5,234,228.29,232.03,2015-02-04,1714900
LNKD,234.21,238.2,231.08,237.97,2015-02-05,3951700
LNKD,237.97,272.96,237.97,263.4,2015-02-06,6916800
LNKD,262.75,269.83,262.01,267.43,2015-02-09,3039400
LNKD,268.97,274.19,268.5,269.75,2015-02-10,2645800
LNKD,268.98,272,267.11,267.92,2015-02-11,2159900
LNKD,268.94,271.44,265.69,267.17,2015-02-12,1870800
LNKD,266.79,269.75,264.52,269,2015-02-13,1992300
LNKD,269.63,272.94,265.25,265.75,2015-02-17,1416300
LNKD,261.3,267.8,260.06,266.91,2015-02-18,1851000
LNKD,265.08,268.32,264.21,266.34,2015-02-19,973300
LNKD,265.57,268.8,264.68,267.63,2015-02-20,953300
LNKD,267,271.07,263.31,264.21,2015-02-23,1165300
LNKD,265.11,266.37,262.55,264.26,2015-02-24,849400
LNKD,264.39,271.43,263.9,269,2015-02-25,1266400
LNKD,272.31,276.18,270.1,270.76,2015-02-26,2256400
LNKD,269.94,271.9,266.91,267.2,2015-02-27,984100
LNKD,267.45,269.87,264.77,269.42,2015-03-02,894200
LNKD,268.67,272.55,263.79,265.54,2015-03-03,1195900
LNKD,264.95,266,260.62,265.23,2015-03-04,1240800
LNKD,265.25,268.98,265.25,268.34,2015-03-05,1115600
LNKD,268.03,271.95,263.78,264.63,2015-03-06,1595900
LNKD,264.45,267.83,263.8,267.21,2015-03-09,827000
LNKD,264.85,266.71,262,265,2015-03-10,1178700
LNKD,265.14,268.79,263.4,264.95,2015-03-11,1211300
LNKD,265.7,268.2,265.04,266.42,2015-03-12,944000
LNKD,263.63,263.88,258,259.12,2015-03-13,1700500
LNKD,259.8,260.6,256,260.17,2015-03-16,1067600
LNKD,254.99,260,254.01,258.71,2015-03-17,1337200
LNKD,258.52,260.46,255.45,260.15,2015-03-18,1594600
LNKD,259.9,263,258.11,260.58,2015-03-19,750900
LNKD,262.5,265.11,261.01,264.25,2015-03-20,1198200
LNKD,264.25,264.87,260.75,261.84,2015-03-23,664000
LNKD,262.93,267.28,261.88,264.16,2015-03-24,1110600
LNKD,264.18,264.61,255.04,256.05,2015-03-25,1174600
LNKD,254.09,256.7,252.33,255.79,2015-03-26,849100
LNKD,256,258.05,253.81,256.71,2015-03-27,577500
LNKD,257.9,258.98,252.81,255.19,2015-03-30,791700
LNKD,254.46,255.37,249.86,249.86,2015-03-31,1105200
LNKD,249.92,251.05,246.23,248.32,2015-04-01,1113900
LNKD,249.71,250.28,246.88,248.82,2015-04-02,651100
LNKD,246.01,251.68,245.35,249.31,2015-04-06,821600
LNKD,248.51,253.53,248.51,249.81,2015-04-07,936900
LNKD,250.56,255.84,250.32,252.26,2015-04-08,1061100
LNKD,251.02,256.5,247.65,256.14,2015-04-09,1481200
LNKD,260.5,265.46,260.02,265.35,2015-04-10,2305900
LNKD,264,266.53,261.63,263.16,2015-04-13,1454900
LNKD,262.03,264.58,256.29,257.5,2015-04-14,1509300
LNKD,258.98,259.99,256.47,257.19,2015-04-15,904200
LNKD,257.01,259.53,256.48,257.07,2015-04-16,838100
LNKD,256.25,257.06,252.28,253.75,2015-04-17,1118000
LNKD,255.4,265.56,253.8,258.52,2015-04-20,2121700
LNKD,260.64,262.38,257.91,258.42,2015-04-21,1136000
LNKD,259.07,260.87,257.09,259.35,2015-04-22,879500
LNKD,258.46,260.13,256.06,256.24,2015-04-23,851300
LNKD,258.32,262.76,257.24,260.95,2015-04-24,1318000
LNKD,262.76,264.7,259.5,260.29,2015-04-27,1055500
LNKD,261.14,262.52,255.52,257.34,2015-04-28,1552700
LNKD,256.03,259.14,255.25,257.15,2015-04-29,1096700
LNKD,256.4,256.78,250.16,252.13,2015-04-30,6162900
LNKD,252.13,252.13,198.4,205.21,2015-05-01,16842400
LNKD,208.4,209.25,200.36,203.42,2015-05-04,5839700
LNKD,203.29,203.42,198.64,199.83,2015-05-05,4150200
LNKD,200,200.64,196.11,200.22,2015-05-06,3092400
LNKD,199.82,202.94,199.01,201.41,2015-05-07,2088000
LNKD,202.94,204.29,197.88,198.72,2015-05-08,2970100
LNKD,199,202.65,197.33,200.26,2015-05-11,2081800
LNKD,200,200.87,198,200.24,2015-05-12,1355700
LNKD,200.53,200.68,195.26,196.87,2015-05-13,2086100
LNKD,198.2,198.2,192.75,194.49,2015-05-14,3745000
LNKD,195.02,195.94,193.2,195.66,2015-05-15,1521300
LNKD,191.5,199,191,198.38,2015-05-18,3805900
LNKD,197.26,197.3,193.03,194.22,2015-05-19,2485900
LNKD,194.87,195,191.64,193.8,2015-05-20,1500500
LNKD,194.39,197.06,193.26,197.04,2015-05-21,2230200
LNKD,197.33,197.87,195.01,196.23,2015-05-22,1412100
LNKD,195.98,196.91,194.5,195.79,2015-05-26,1419500
LNKD,195,198,194.12,197.99,2015-05-27,1326600
LNKD,198.1,198.69,196.02,196.23,2015-05-28,1332800
LNKD,195.25,197.15,194.63,194.93,2015-05-29,1569000
LNKD,196.13,202.91,194.93,200.77,2015-06-01,2792200
LNKD,200.08,207.43,199,204.81,2015-06-02,3258700
LNKD,211.24,215.46,210.32,213.25,2015-06-03,4291200
LNKD,214.51,217.21,211.33,212.83,2015-06-04,2685500
LNKD,215,216.93,212.17,213.8,2015-06-05,1811500
LNKD,214.5,215.49,211.37,212.04,2015-06-08,1706000
LNKD,212.71,219.64,211.66,216.83,2015-06-09,2490200
LNKD,216.83,218.62,215.94,216.7,2015-06-10,1772400
LNKD,216.96,218.28,216.36,217.95,2015-06-11,1093200
LNKD,217.32,217.96,214.83,215.72,2015-06-12,941800
LNKD,215.27,217.11,213.55,215.75,2015-06-15,989500
LNKD,215.53,217.8,215.21,217.29,2015-06-16,979900
LNKD,217.98,218.63,214.02,215.91,2015-06-17,1160000
LNKD,215.91,219.7,215.91,217.75,2015-06-18,1211800
LNKD,218.47,218.47,215.5,216.78,2015-06-19,1309200
