stockid,price,realtime,volume
LNKD,123.49,"2016-04-28 11:28:00",1163168
LNKD,123.56,"2016-04-28 11:29:00",1180259
LNKD,123.7,"2016-04-28 11:31:00",1188939
LNKD,123.74,"2016-04-28 11:31:00",1194220
LNKD,123.77,"2016-04-28 11:32:00",1203043
LNKD,123.91,"2016-04-28 11:34:00",1233070
LNKD,123.97,"2016-04-28 11:34:00",1247698
LNKD,124.07,"2016-04-28 11:35:00",1266239
LNKD,124,"2016-04-28 11:36:00",1281632
LNKD,124.08,"2016-04-28 11:38:00",1288909
LNKD,124.26,"2016-04-28 11:39:00",1292246
LNKD,124.17,"2016-04-28 11:39:00",1315764
LNKD,124.07,"2016-04-28 11:41:00",1323719
LNKD,124.05,"2016-04-28 11:41:00",1332490
LNKD,124.008,"2016-04-28 11:42:00",1342615
LNKD,124.055,"2016-04-28 11:43:00",1347321
LNKD,124.12,"2016-04-28 11:45:00",1349466
LNKD,124.115,"2016-04-28 11:46:00",1354484
LNKD,124.07,"2016-04-28 11:46:00",1360024
LNKD,124.11,"2016-04-28 11:47:00",1369131
LNKD,124.015,"2016-04-28 11:48:00",1378397
LNKD,124.02,"2016-04-28 11:49:00",1383049
LNKD,123.912,"2016-04-28 11:51:00",1395597
LNKD,123.9,"2016-04-28 11:52:00",1417152
LNKD,123.96,"2016-04-28 11:52:00",1422269
LNKD,123.91,"2016-04-28 11:53:00",1428235
LNKD,124.01,"2016-04-28 11:55:00",1433936
LNKD,123.985,"2016-04-28 11:55:00",1443375
LNKD,124.06,"2016-04-28 11:56:00",1450258
LNKD,123.93,"2016-04-28 11:57:00",1454536
LNKD,123.93,"2016-04-28 11:59:00",1456545
LNKD,123.967,"2016-04-28 11:59:00",1459129
LNKD,123.88,"2016-04-29 00:01:00",1469088
LNKD,124.005,"2016-04-29 00:01:00",1475148
LNKD,124.015,"2016-04-29 00:03:00",1482337
LNKD,124.015,"2016-04-29 00:03:00",1489339
LNKD,123.95,"2016-04-29 00:05:00",1496363
LNKD,123.904,"2016-04-29 00:05:00",1502769
LNKD,123.953,"2016-04-29 00:06:00",1507764
LNKD,124,"2016-04-29 00:08:00",1512366
LNKD,124.01,"2016-04-29 00:09:00",1521416
LNKD,124.005,"2016-04-29 00:09:00",1529674
LNKD,124,"2016-04-29 00:10:00",1535064
LNKD,124.32,"2016-04-29 00:12:00",1568327
LNKD,124.35,"2016-04-29 00:12:00",1574497
LNKD,124.23,"2016-04-29 00:14:00",1597600
LNKD,124.12,"2016-04-29 00:14:00",1602673
LNKD,124.09,"2016-04-29 00:15:00",1605123
LNKD,124.188,"2016-04-29 00:17:00",1609805
LNKD,124.09,"2016-04-29 00:17:00",1619160
LNKD,124.12,"2016-04-29 00:18:00",1619962
LNKD,124.14,"2016-04-29 00:19:00",1628748
