stockid,open,high,low,close,histtime,volume
MSFT,40.14,41.29,40.09,40.87,2014-04-28,50610200
MSFT,41.1,41.19,40.39,40.51,2014-04-29,29636200
MSFT,40.4,40.5,40.17,40.4,2014-04-30,35458700
MSFT,40.24,40.36,39.95,40,2014-05-01,28787400
MSFT,40.31,40.34,39.66,39.69,2014-05-02,43416600
MSFT,39.52,39.64,39.3,39.43,2014-05-05,22460900
MSFT,39.29,39.35,38.95,39.06,2014-05-06,27112400
MSFT,39.22,39.51,38.51,39.42,2014-05-07,41744500
MSFT,39.34,39.9,38.97,39.64,2014-05-08,32120400
MSFT,39.54,39.85,39.37,39.54,2014-05-09,29647600
MSFT,39.74,40.02,39.65,39.97,2014-05-12,22782600
MSFT,39.92,40.5,39.85,40.42,2014-05-13,27004800
MSFT,40.3,40.45,40.05,40.24,2014-05-14,18818700
MSFT,40.09,40.4,39.51,39.6,2014-05-15,37793200
MSFT,39.67,39.84,39.27,39.83,2014-05-16,29867100
MSFT,39.61,39.82,39.46,39.75,2014-05-19,24537400
MSFT,39.68,39.94,39.46,39.68,2014-05-20,21320900
MSFT,39.8,40.35,39.74,40.35,2014-05-21,22398700
MSFT,40.29,40.35,39.85,40.1,2014-05-22,20201800
MSFT,40.37,40.37,40,40.12,2014-05-23,18020000
MSFT,40.26,40.26,39.81,40.19,2014-05-27,26160600
MSFT,40.14,40.19,39.82,40.01,2014-05-28,25711500
MSFT,40.15,40.35,39.91,40.34,2014-05-29,19888200
MSFT,40.45,40.97,40.25,40.94,2014-05-30,34567600
MSFT,40.95,41.09,40.68,40.79,2014-06-02,18504300
MSFT,40.6,40.68,40.25,40.29,2014-06-03,18068900
MSFT,40.21,40.37,39.86,40.32,2014-06-04,23209000
MSFT,40.59,41.25,40.4,41.21,2014-06-05,31865200
MSFT,41.48,41.66,41.24,41.48,2014-06-06,24060500
MSFT,41.39,41.48,41.02,41.27,2014-06-09,15019200
MSFT,41.03,41.16,40.86,41.11,2014-06-10,15117700
MSFT,40.93,41.07,40.77,40.86,2014-06-11,18040000
MSFT,40.81,40.88,40.29,40.58,2014-06-12,29818900
MSFT,41.1,41.57,40.86,41.23,2014-06-13,26310000
MSFT,41.04,41.61,41.04,41.5,2014-06-16,24205300
MSFT,41.29,41.91,40.34,41.68,2014-06-17,22518600
MSFT,41.61,41.74,41.18,41.65,2014-06-18,27097000
MSFT,41.57,41.77,41.33,41.51,2014-06-19,19828200
MSFT,41.45,41.83,41.38,41.68,2014-06-20,47764900
