stockid,price,realtime,volume
MSFT,50.61,"2016-04-28 11:29:00",9966309
MSFT,50.61,"2016-04-28 11:29:00",9985563
MSFT,50.616,"2016-04-28 11:31:00",10015994
MSFT,50.61,"2016-04-28 11:31:00",10032601
MSFT,50.59,"2016-04-28 11:32:00",10063654
MSFT,50.56,"2016-04-28 11:34:00",10110422
MSFT,50.611,"2016-04-28 11:34:00",10132996
MSFT,50.6299,"2016-04-28 11:35:00",10165592
MSFT,50.6299,"2016-04-28 11:36:00",10251739
MSFT,50.615,"2016-04-28 11:38:00",10282627
MSFT,50.63,"2016-04-28 11:39:00",10347477
MSFT,50.63,"2016-04-28 11:40:00",10390823
MSFT,50.615,"2016-04-28 11:40:00",10419040
MSFT,50.6,"2016-04-28 11:41:00",10483749
MSFT,50.5942,"2016-04-28 11:42:00",10507761
MSFT,50.59,"2016-04-28 11:44:00",10529079
MSFT,50.59,"2016-04-28 11:45:00",10557355
MSFT,50.59,"2016-04-28 11:45:00",10593643
MSFT,50.57,"2016-04-28 11:46:00",10622993
MSFT,50.565,"2016-04-28 11:47:00",10673691
MSFT,50.565,"2016-04-28 11:49:00",10689520
MSFT,50.55,"2016-04-28 11:50:00",10720260
MSFT,50.57,"2016-04-28 11:51:00",10759701
MSFT,50.535,"2016-04-28 11:52:00",10810499
MSFT,50.55,"2016-04-28 11:53:00",10836123
MSFT,50.5564,"2016-04-28 11:53:00",10854772
MSFT,50.549,"2016-04-28 11:55:00",10908513
MSFT,50.5537,"2016-04-28 11:55:00",10929363
MSFT,50.57,"2016-04-28 11:56:00",10948947
MSFT,50.55,"2016-04-28 11:58:00",10981816
MSFT,50.55,"2016-04-28 11:59:00",11023498
MSFT,50.5601,"2016-04-29 00:00:00",11059591
MSFT,50.58,"2016-04-29 00:00:00",11120713
MSFT,50.59,"2016-04-29 00:01:00",11179065
MSFT,50.59,"2016-04-29 00:02:00",11187612
MSFT,50.59,"2016-04-29 00:04:00",11277936
MSFT,50.55,"2016-04-29 00:05:00",11336814
MSFT,50.5728,"2016-04-29 00:05:00",11358102
MSFT,50.55,"2016-04-29 00:06:00",11376130
MSFT,50.53,"2016-04-29 00:08:00",11395366
MSFT,50.535,"2016-04-29 00:08:00",11412258
MSFT,50.535,"2016-04-29 00:10:00",11433861
MSFT,50.51,"2016-04-29 00:11:00",11509919
MSFT,50.485,"2016-04-29 00:12:00",11628700
MSFT,50.465,"2016-04-29 00:12:00",11687088
MSFT,50.455,"2016-04-29 00:14:00",11726686
MSFT,50.44,"2016-04-29 00:15:00",11778934
MSFT,50.43,"2016-04-29 00:16:00",11827133
MSFT,50.43,"2016-04-29 00:17:00",11868105
MSFT,50.423,"2016-04-29 00:17:00",11899506
MSFT,50.38,"2016-04-29 00:18:00",11984785
MSFT,50.37,"2016-04-29 00:19:00",12006684
MSFT,50.35,"2016-04-29 00:20:00",12145756
MSFT,50.3301,"2016-04-29 00:22:00",12207190
MSFT,50.33,"2016-04-29 00:23:00",12261180
MSFT,50.3398,"2016-04-29 00:24:00",12289452
MSFT,50.34,"2016-04-29 00:25:00",12351300
MSFT,50.345,"2016-04-29 00:25:00",12624855
MSFT,50.34,"2016-04-29 00:27:00",12678600
MSFT,50.34,"2016-04-29 00:27:00",12733841
MSFT,50.34,"2016-04-29 00:29:00",12784945
MSFT,50.33,"2016-04-29 00:30:00",12875181
MSFT,50.31,"2016-04-29 00:31:00",12916686
MSFT,50.295,"2016-04-29 00:32:00",13014847
MSFT,50.32,"2016-04-29 00:33:00",13086196
MSFT,50.305,"2016-04-29 00:34:00",13153949
MSFT,50.29,"2016-04-29 00:34:00",13216100
MSFT,50.265,"2016-04-29 00:35:00",13317026
MSFT,50.26,"2016-04-29 00:37:00",13420407
MSFT,50.275,"2016-04-29 00:38:00",13514706
MSFT,50.28,"2016-04-29 00:38:00",13546281
MSFT,50.27,"2016-04-29 00:40:00",13604550
MSFT,50.26,"2016-04-29 00:41:00",13658297
MSFT,50.265,"2016-04-29 00:42:00",13736286
MSFT,50.26,"2016-04-29 00:43:00",13797379
MSFT,50.2799,"2016-04-29 00:44:00",13845843
MSFT,50.29,"2016-04-29 00:45:00",13884803
MSFT,50.31,"2016-04-29 00:46:00",13933521
MSFT,50.3172,"2016-04-29 00:47:00",14001276
MSFT,50.3175,"2016-04-29 00:48:00",14039684
MSFT,50.31,"2016-04-29 00:48:00",14067572
MSFT,50.275,"2016-04-29 00:50:00",14105890
MSFT,50.265,"2016-04-29 00:51:00",14154177
MSFT,50.295,"2016-04-29 00:51:00",14191756
MSFT,50.2935,"2016-04-29 00:52:00",14231745
MSFT,50.2967,"2016-04-29 00:54:00",14300219
MSFT,50.275,"2016-04-29 00:54:00",14345096
MSFT,50.295,"2016-04-29 00:56:00",14389099
MSFT,50.2838,"2016-04-29 00:56:00",14441920
MSFT,50.295,"2016-04-29 00:58:00",14469300
MSFT,50.285,"2016-04-29 00:59:00",14509351
MSFT,50.285,"2016-04-29 00:59:00",14546620
MSFT,50.29,"2016-04-28 13:00:00",14631445
MSFT,50.295,"2016-04-28 13:01:00",14719181
MSFT,50.299,"2016-04-28 13:03:00",14868326
MSFT,50.286,"2016-04-28 13:05:00",15264771
MSFT,50.28,"2016-04-28 13:06:00",15406464
MSFT,50.275,"2016-04-28 13:06:00",15467752
MSFT,50.28,"2016-04-28 13:08:00",15548983
MSFT,50.275,"2016-04-28 13:08:00",15620825
MSFT,50.2755,"2016-04-28 13:10:00",15663592
MSFT,50.2638,"2016-04-28 13:11:00",15736312
MSFT,50.275,"2016-04-28 13:12:00",16050941
MSFT,50.28,"2016-04-28 13:13:00",16121597
MSFT,50.295,"2016-04-28 13:14:00",16174365
MSFT,50.3,"2016-04-28 13:15:00",16240641
MSFT,50.255,"2016-04-28 13:16:00",16359727
MSFT,50.265,"2016-04-28 13:16:00",16420747
MSFT,50.27,"2016-04-28 13:18:00",16435905
MSFT,50.27,"2016-04-28 13:19:00",16472320
MSFT,50.26,"2016-04-28 13:20:00",16510093
MSFT,50.145,"2016-04-28 13:20:00",17051912
MSFT,50.135,"2016-04-28 13:22:00",17198662
MSFT,50.17,"2016-04-28 13:22:00",17306207
MSFT,50.16,"2016-04-28 13:23:00",17336364
MSFT,50.17,"2016-04-28 13:25:00",17374793
MSFT,50.2,"2016-04-28 13:26:00",17410964
MSFT,50.185,"2016-04-28 13:27:00",17474740
MSFT,50.19,"2016-04-28 13:28:00",17551228
MSFT,50.2,"2016-04-28 13:29:00",17582325
MSFT,50.21,"2016-04-28 13:29:00",17631543
MSFT,50.2,"2016-04-28 13:31:00",17658072
MSFT,50.205,"2016-04-28 13:32:00",17708351
MSFT,50.235,"2016-04-28 13:33:00",17833626
MSFT,50.215,"2016-04-28 13:35:00",17885674
MSFT,50.2228,"2016-04-28 13:36:00",17923909
MSFT,50.2,"2016-04-28 13:37:00",17958594
MSFT,50.2,"2016-04-28 13:38:00",17981614
MSFT,50.199,"2016-04-28 13:38:00",18024458
MSFT,50.185,"2016-04-28 13:40:00",18055356
MSFT,50.15,"2016-04-28 13:40:00",18114471
MSFT,50.15,"2016-04-28 13:41:00",18164485
MSFT,50.18,"2016-04-28 13:42:00",18231671
MSFT,50.18,"2016-04-28 13:44:00",18258231
MSFT,50.1886,"2016-04-28 13:45:00",18278176
MSFT,50.145,"2016-04-28 13:45:00",18308474
MSFT,50.1301,"2016-04-28 13:46:00",18384744
MSFT,50.145,"2016-04-28 13:48:00",18451261
MSFT,50.155,"2016-04-28 13:49:00",18522825
MSFT,50.135,"2016-04-28 13:50:00",18568896
MSFT,50.19,"2016-04-28 13:51:00",18623632
MSFT,50.22,"2016-04-28 13:51:00",18657441
MSFT,50.1899,"2016-04-28 13:52:00",18707968
MSFT,50.1801,"2016-04-28 13:53:00",18729140
MSFT,50.18,"2016-04-28 13:55:00",18775430
MSFT,50.19,"2016-04-28 13:56:00",18802120
MSFT,50.17,"2016-04-28 13:57:00",18864449
MSFT,50.15,"2016-04-28 13:58:00",18909469
MSFT,50.16,"2016-04-28 13:59:00",19031086
MSFT,50.15,"2016-04-28 13:59:00",19105382
MSFT,50.18,"2016-04-28 14:00:00",19190232
MSFT,50.21,"2016-04-28 14:26:00",20973230
MSFT,50.224,"2016-04-28 14:28:00",21005798
MSFT,50.2264,"2016-04-28 14:28:00",21063178
MSFT,50.235,"2016-04-28 14:30:00",21113369
MSFT,50.21,"2016-04-28 14:31:00",21146945
MSFT,50.17,"2016-04-28 14:32:00",21217480
MSFT,50.165,"2016-04-28 14:32:00",21256485
MSFT,50.145,"2016-04-28 14:34:00",21308202
MSFT,50.155,"2016-04-28 14:35:00",21353520
MSFT,50.1895,"2016-04-28 14:35:00",21389938
MSFT,50.13,"2016-04-28 14:37:00",21445285
MSFT,50.115,"2016-04-28 14:38:00",21621634
MSFT,50.109,"2016-04-28 14:39:00",21661942
MSFT,50.09,"2016-04-28 14:40:00",21725072
MSFT,50.115,"2016-04-28 14:41:00",21773185
MSFT,50.1038,"2016-04-28 14:42:00",21843918
MSFT,50.15,"2016-04-28 14:42:00",21946395
MSFT,50.135,"2016-04-28 14:44:00",21989238
MSFT,50.085,"2016-04-28 14:45:00",22033482
MSFT,50.075,"2016-04-28 14:46:00",22188937
MSFT,50.06,"2016-04-28 14:46:00",22252464
MSFT,50.05,"2016-04-28 14:48:00",22446071
MSFT,50.025,"2016-04-28 14:49:00",22572758
MSFT,50.0372,"2016-04-28 14:50:00",22631245
MSFT,50.01,"2016-04-28 14:51:00",22717273
MSFT,49.99,"2016-04-28 14:52:00",23241275
MSFT,49.97,"2016-04-28 14:53:00",23335659
MSFT,50.025,"2016-04-28 14:54:00",23488392
MSFT,50.04,"2016-04-28 14:55:00",23597923
MSFT,50.003,"2016-04-28 14:56:00",23677502
MSFT,50.04,"2016-04-28 14:57:00",23817258
MSFT,50.085,"2016-04-28 14:57:00",23879011
MSFT,50.05,"2016-04-28 14:59:00",23963919
MSFT,50.07,"2016-04-28 14:59:00",24074688
MSFT,50.05,"2016-04-28 15:01:00",24176228
MSFT,50.05,"2016-04-28 15:02:00",24216668
MSFT,50.035,"2016-04-28 15:03:00",24276185
MSFT,50.045,"2016-04-28 15:04:00",24378498
MSFT,50.01,"2016-04-28 15:05:00",24498145
MSFT,49.985,"2016-04-28 15:06:00",24553466
MSFT,49.9501,"2016-04-28 15:07:00",24650306
MSFT,49.975,"2016-04-28 15:07:00",24717169
MSFT,49.96,"2016-04-28 15:09:00",24869256
MSFT,49.9,"2016-04-28 15:10:00",25015023
MSFT,49.885,"2016-04-28 15:10:00",25148256
MSFT,49.89,"2016-04-28 15:12:00",25271411
MSFT,49.845,"2016-04-28 15:12:00",25351109
MSFT,49.84,"2016-04-28 15:14:00",25475506
MSFT,49.785,"2016-04-28 15:15:00",25677379
MSFT,49.7713,"2016-04-28 15:16:00",26009909
MSFT,49.755,"2016-04-28 15:17:00",26130735
MSFT,49.76,"2016-04-28 15:17:00",26210213
MSFT,49.6865,"2016-04-28 15:19:00",26449020
MSFT,49.695,"2016-04-28 15:20:00",26656169
MSFT,49.6865,"2016-04-28 15:21:00",26881759
MSFT,49.67,"2016-04-28 15:22:00",26952662
MSFT,49.685,"2016-04-28 15:23:00",27421647
MSFT,49.66,"2016-04-28 15:24:00",27604806
MSFT,49.655,"2016-04-28 15:25:00",27768669
MSFT,49.62,"2016-04-28 15:25:00",28228189
MSFT,49.67,"2016-04-28 15:26:00",28392666
MSFT,49.695,"2016-04-28 15:28:00",28647148
MSFT,49.66,"2016-04-28 15:28:00",28813847
MSFT,49.63,"2016-04-28 15:30:00",29079514
MSFT,49.6999,"2016-04-28 15:31:00",29312431
MSFT,49.655,"2016-04-28 15:32:00",29604103
MSFT,49.645,"2016-04-28 15:33:00",29730056
MSFT,49.63,"2016-04-28 15:33:00",29893211
MSFT,49.68,"2016-04-28 15:35:00",30157935
MSFT,49.715,"2016-04-28 15:36:00",30387446
MSFT,49.735,"2016-04-28 15:37:00",30643393
MSFT,49.71,"2016-04-28 15:38:00",31086142
MSFT,49.76,"2016-04-28 15:39:00",31400689
MSFT,49.78,"2016-04-28 15:40:00",31711085
MSFT,49.83,"2016-04-28 15:40:00",31954748
MSFT,49.79,"2016-04-28 15:42:00",32143844
MSFT,49.855,"2016-04-28 15:44:00",32827154
MSFT,49.86,"2016-04-28 15:51:00",35425031
MSFT,49.9,"2016-04-28 15:52:00",35643033
MSFT,49.87,"2016-04-28 15:53:00",35983004
MSFT,49.855,"2016-04-28 15:53:00",36271294
MSFT,49.865,"2016-04-28 15:55:00",36507469
MSFT,49.835,"2016-04-28 15:56:00",36799952
MSFT,49.805,"2016-04-28 15:57:00",37064410
MSFT,49.785,"2016-04-28 15:58:00",37382755
MSFT,49.827,"2016-04-28 15:58:00",37680753
MSFT,49.93,"2016-04-28 16:00:00",40629388
MSFT,49.93,"2016-04-28 16:00:00",40792926
MSFT,49.93,"2016-04-28 16:00:00",40860846
MSFT,49.93,"2016-04-28 16:00:00",40870690
MSFT,49.93,"2016-04-28 16:00:00",41108289
MSFT,49.93,"2016-04-28 16:00:00",41109290
MSFT,49.93,"2016-04-28 16:00:00",41117797
MSFT,49.93,"2016-04-28 16:00:00",41119127
MSFT,49.93,"2016-04-28 16:00:00",41120127
MSFT,49.93,"2016-04-28 16:00:00",41125794
MSFT,49.93,"2016-04-28 16:00:00",41160794
MSFT,49.93,"2016-04-28 16:00:00",41163343
MSFT,49.93,"2016-04-28 16:00:00",41525090
MSFT,49.93,"2016-04-28 16:00:00",41535100
MSFT,49.93,"2016-04-28 16:00:00",41535225
MSFT,49.9,"2016-04-28 16:00:00",41539415
MSFT,49.9,"2016-04-28 16:00:00",41540915
