stockid,open,high,low,close,histtime,volume
NVDA,18.88,18.98,18.42,18.65,2014-04-28,5669700
NVDA,18.72,18.76,18.48,18.69,2014-04-29,4282500
NVDA,18.66,18.68,18.43,18.47,2014-04-30,7643500
NVDA,18.75,18.79,18.42,18.57,2014-05-01,4952600
NVDA,18.66,18.66,18.32,18.43,2014-05-02,3909400
NVDA,18.41,18.77,18.39,18.63,2014-05-05,5981500
NVDA,18.81,18.97,18.2,18.25,2014-05-06,10404700
NVDA,18.25,18.42,18.07,18.27,2014-05-07,7347500
NVDA,18.2,18.79,18.11,18.5,2014-05-08,10818200
NVDA,17.94,18.11,17.71,18.05,2014-05-09,13488300
NVDA,18.09,18.62,18.08,18.58,2014-05-12,7496400
NVDA,18.33,18.63,18.22,18.28,2014-05-13,5527600
NVDA,18.29,18.36,18.09,18.1,2014-05-14,5358000
NVDA,18.06,18.16,17.82,18,2014-05-15,8147400
NVDA,17.86,18.09,17.86,17.96,2014-05-16,7099000
NVDA,18.15,18.64,18.07,18.54,2014-05-19,9001900
NVDA,18.46,18.51,18.15,18.24,2014-05-20,6405000
NVDA,18.31,18.47,18.13,18.24,2014-05-21,5417800
NVDA,18.2,18.42,18.2,18.32,2014-05-22,3259100
NVDA,18.42,18.58,18.31,18.49,2014-05-23,4566400
NVDA,18.6,18.82,18.54,18.82,2014-05-27,5242000
NVDA,18.89,19.1,18.71,18.98,2014-05-28,5616900
NVDA,18.97,19.13,18.91,18.95,2014-05-29,4297100
NVDA,18.95,19.05,18.85,19,2014-05-30,5978200
NVDA,19.06,19.18,18.78,18.94,2014-06-02,4537500
NVDA,18.98,19,18.61,18.86,2014-06-03,6080300
NVDA,18.81,19.02,18.8,18.88,2014-06-04,4030900
NVDA,18.91,19.02,18.8,18.96,2014-06-05,4717400
NVDA,19.05,19.2,18.98,19.03,2014-06-06,4026300
NVDA,19.01,19.23,18.88,19.05,2014-06-09,6186400
NVDA,18.98,19.24,18.9,19.15,2014-06-10,5440200
NVDA,19.08,19.45,19.08,19.4,2014-06-11,6655700
NVDA,19.4,19.61,19.23,19.52,2014-06-12,8428700
NVDA,19.72,19.73,19.35,19.54,2014-06-13,5696300
NVDA,19.45,19.61,19.31,19.48,2014-06-16,4965500
