stockid,price,realtime,volume
NVDA,37.16,"2016-04-28 11:28:00",2631765
NVDA,37.14,"2016-04-28 11:29:00",2657234
NVDA,37.17,"2016-04-28 11:30:00",2672489
NVDA,37.15,"2016-04-28 11:31:00",2681598
NVDA,37.14,"2016-04-28 11:32:00",2684893
NVDA,37.14,"2016-04-28 11:34:00",2696471
NVDA,37.13,"2016-04-28 11:34:00",2703899
NVDA,37.13,"2016-04-28 11:35:00",2712173
NVDA,37.13,"2016-04-28 11:36:00",2730337
NVDA,37.13,"2016-04-28 11:38:00",2744686
NVDA,37.1,"2016-04-28 11:38:00",2753160
NVDA,37.08,"2016-04-28 11:39:00",2760894
NVDA,37.13,"2016-04-28 11:41:00",2783387
NVDA,37.13,"2016-04-28 11:41:00",2789041
NVDA,37.16,"2016-04-28 11:43:00",2817666
NVDA,37.145,"2016-04-28 11:43:00",2825028
NVDA,37.15,"2016-04-28 11:44:00",2830945
NVDA,37.15,"2016-04-28 11:46:00",2853461
NVDA,37.1301,"2016-04-28 11:46:00",2866647
NVDA,37.15,"2016-04-28 11:47:00",2881751
NVDA,37.155,"2016-04-28 11:48:00",2882779
NVDA,37.11,"2016-04-28 11:50:00",2901489
NVDA,37.146,"2016-04-28 11:50:00",2908116
NVDA,37.14,"2016-04-28 11:52:00",2913058
NVDA,37.15,"2016-04-28 11:52:00",2918108
NVDA,37.105,"2016-04-28 11:54:00",2925464
NVDA,37.1,"2016-04-28 11:54:00",2931091
NVDA,37.09,"2016-04-28 11:55:00",2942756
NVDA,37.12,"2016-04-28 11:56:00",2950795
NVDA,37.12,"2016-04-28 11:57:00",2952433
NVDA,37.12,"2016-04-28 11:58:00",2956822
NVDA,37.14,"2016-04-28 11:59:00",2965267
NVDA,37.14,"2016-04-29 00:00:00",2998192
NVDA,37.1499,"2016-04-29 00:01:00",3004274
NVDA,37.15,"2016-04-29 00:02:00",3018100
NVDA,37.14,"2016-04-29 00:04:00",3026082
NVDA,37.14,"2016-04-29 00:05:00",3167349
NVDA,37.17,"2016-04-29 00:06:00",3194907
NVDA,37.18,"2016-04-29 00:06:00",3200122
NVDA,37.15,"2016-04-29 00:08:00",3210875
NVDA,37.17,"2016-04-29 00:08:00",3219477
NVDA,37.17,"2016-04-29 00:09:00",3250037
NVDA,37.16,"2016-04-29 00:11:00",3256214
NVDA,37.17,"2016-04-29 00:11:00",3263314
NVDA,37.1601,"2016-04-29 00:12:00",3264023
NVDA,37.16,"2016-04-29 00:13:00",3278383
NVDA,37.1,"2016-04-29 00:15:00",3288215
NVDA,37.08,"2016-04-29 00:15:00",3296074
NVDA,37.075,"2016-04-29 00:16:00",3302013
NVDA,37.07,"2016-04-29 00:17:00",3316271
NVDA,37.08,"2016-04-29 00:19:00",3375298
NVDA,37.08,"2016-04-29 00:19:00",3399819
NVDA,37.0765,"2016-04-29 00:20:00",3407065
NVDA,37.1,"2016-04-29 00:22:00",3426852
NVDA,37.08,"2016-04-29 00:22:00",3430152
NVDA,37.06,"2016-04-29 00:24:00",3434028
NVDA,37.06,"2016-04-29 00:24:00",3438479
NVDA,37.0199,"2016-04-29 00:25:00",3449905
NVDA,37.0099,"2016-04-29 00:26:00",3465280
NVDA,37,"2016-04-29 00:28:00",3483871
NVDA,36.99,"2016-04-29 00:28:00",3511022
NVDA,36.975,"2016-04-29 00:29:00",3519326
NVDA,36.955,"2016-04-29 00:31:00",3548634
NVDA,36.945,"2016-04-29 00:31:00",3552599
NVDA,36.97,"2016-04-29 00:33:00",3561239
NVDA,36.98,"2016-04-29 00:33:00",3565106
NVDA,37,"2016-04-29 00:35:00",3567733
NVDA,36.97,"2016-04-29 00:35:00",3574568
NVDA,36.94,"2016-04-29 00:36:00",3581746
NVDA,36.96,"2016-04-29 00:37:00",3590207
NVDA,36.94,"2016-04-29 00:38:00",3596712
NVDA,36.965,"2016-04-29 00:39:00",3601870
NVDA,36.965,"2016-04-29 00:40:00",3604307
NVDA,36.95,"2016-04-29 00:41:00",3608068
NVDA,36.965,"2016-04-29 00:43:00",3613783
NVDA,36.96,"2016-04-29 00:44:00",3622606
NVDA,36.92,"2016-04-29 00:44:00",3637070
NVDA,36.93,"2016-04-29 00:45:00",3640651
NVDA,36.9299,"2016-04-29 00:46:00",3641822
NVDA,36.92,"2016-04-29 00:47:00",3649395
NVDA,36.925,"2016-04-29 00:48:00",3656865
NVDA,36.9277,"2016-04-29 00:49:00",3661012
NVDA,36.89,"2016-04-29 00:51:00",3674949
NVDA,36.875,"2016-04-29 00:51:00",3689857
NVDA,36.89,"2016-04-29 00:52:00",3698820
NVDA,36.926,"2016-04-29 00:53:00",3703659
NVDA,36.95,"2016-04-29 00:55:00",3717982
NVDA,36.9355,"2016-04-29 00:56:00",3726400
NVDA,36.93,"2016-04-29 00:56:00",3734753
NVDA,36.93,"2016-04-29 00:57:00",3742123
NVDA,36.93,"2016-04-29 00:58:00",3746033
NVDA,36.935,"2016-04-28 13:00:00",3757332
NVDA,36.93,"2016-04-28 13:01:00",3776654
NVDA,36.88,"2016-04-28 13:01:00",3805671
NVDA,36.85,"2016-04-28 13:03:00",3832136
NVDA,36.82,"2016-04-28 13:04:00",3849516
NVDA,36.8,"2016-04-28 13:05:00",3873836
NVDA,36.8265,"2016-04-28 13:06:00",3886498
NVDA,36.8699,"2016-04-28 13:08:00",3897553
NVDA,36.885,"2016-04-28 13:08:00",3930472
NVDA,36.84,"2016-04-28 13:09:00",3936858
NVDA,36.83,"2016-04-28 13:10:00",3946939
NVDA,36.8001,"2016-04-28 13:11:00",3965738
NVDA,36.8,"2016-04-28 13:12:00",3972488
NVDA,36.805,"2016-04-28 13:14:00",3977268
NVDA,36.825,"2016-04-28 13:15:00",3989108
NVDA,36.76,"2016-04-28 13:15:00",4008940
NVDA,36.77,"2016-04-28 13:16:00",4020205
NVDA,36.77,"2016-04-28 13:17:00",4031296
NVDA,36.77,"2016-04-28 13:18:00",4043570
NVDA,36.7799,"2016-04-28 13:19:00",4050173
NVDA,36.77,"2016-04-28 13:20:00",4053534
NVDA,36.76,"2016-04-28 13:21:00",4060233
NVDA,36.725,"2016-04-28 13:23:00",4080828
NVDA,36.79,"2016-04-28 13:23:00",4136701
NVDA,36.745,"2016-04-28 13:25:00",4154297
NVDA,36.74,"2016-04-28 13:25:00",4162123
NVDA,36.71,"2016-04-28 13:26:00",4169998
NVDA,36.76,"2016-04-28 13:27:00",4193136
NVDA,36.79,"2016-04-28 13:29:00",4207098
NVDA,36.78,"2016-04-28 13:29:00",4240124
NVDA,36.785,"2016-04-28 13:31:00",4268062
NVDA,36.82,"2016-04-28 13:31:00",4303324
NVDA,36.82,"2016-04-28 13:33:00",4329452
NVDA,36.835,"2016-04-28 13:34:00",4340253
NVDA,36.775,"2016-04-28 13:36:00",4424607
NVDA,36.77,"2016-04-28 13:37:00",4430619
NVDA,36.76,"2016-04-28 13:37:00",4436228
NVDA,36.77,"2016-04-28 13:38:00",4448718
NVDA,36.755,"2016-04-28 13:39:00",4458379
NVDA,36.72,"2016-04-28 13:40:00",4469274
NVDA,36.7,"2016-04-28 13:41:00",4484526
NVDA,36.68,"2016-04-28 13:42:00",4504963
NVDA,36.67,"2016-04-28 13:43:00",4514944
NVDA,36.68,"2016-04-28 13:44:00",4529787
NVDA,36.64,"2016-04-28 13:46:00",4543587
NVDA,36.62,"2016-04-28 13:47:00",4555196
NVDA,36.64,"2016-04-28 13:48:00",4577525
NVDA,36.66,"2016-04-28 13:48:00",4611837
NVDA,36.64,"2016-04-28 13:50:00",4632560
NVDA,36.65,"2016-04-28 13:51:00",4635671
NVDA,36.65,"2016-04-28 13:51:00",4641692
NVDA,36.68,"2016-04-28 13:52:00",4664651
NVDA,36.695,"2016-04-28 13:54:00",4669805
NVDA,36.69,"2016-04-28 13:54:00",4676014
NVDA,36.67,"2016-04-28 13:55:00",4686824
NVDA,36.685,"2016-04-28 13:56:00",4704525
NVDA,36.68,"2016-04-28 13:57:00",4716980
NVDA,36.675,"2016-04-28 13:59:00",4718766
NVDA,36.648,"2016-04-28 13:59:00",4744952
NVDA,36.64,"2016-04-28 14:01:00",4776319
NVDA,36.59,"2016-04-28 14:26:00",5185228
NVDA,36.61,"2016-04-28 14:27:00",5208848
NVDA,36.6061,"2016-04-28 14:28:00",5233271
NVDA,36.63,"2016-04-28 14:30:00",5255693
NVDA,36.63,"2016-04-28 14:31:00",5285221
NVDA,36.63,"2016-04-28 14:31:00",5309090
NVDA,36.6,"2016-04-28 14:33:00",5329050
NVDA,36.585,"2016-04-28 14:33:00",5342565
NVDA,36.585,"2016-04-28 14:35:00",5371925
NVDA,36.605,"2016-04-28 14:35:00",5394823
NVDA,36.55,"2016-04-28 14:37:00",5421300
NVDA,36.5115,"2016-04-28 14:38:00",5439576
NVDA,36.5392,"2016-04-28 14:38:00",5458260
NVDA,36.52,"2016-04-28 14:40:00",5479373
NVDA,36.52,"2016-04-28 14:40:00",5487235
NVDA,36.52,"2016-04-28 14:42:00",5507294
NVDA,36.525,"2016-04-28 14:43:00",5515776
NVDA,36.51,"2016-04-28 14:43:00",5529332
NVDA,36.5,"2016-04-28 14:44:00",5540068
NVDA,36.47,"2016-04-28 14:46:00",5574725
NVDA,36.47,"2016-04-28 14:46:00",5591285
NVDA,36.46,"2016-04-28 14:48:00",5605846
NVDA,36.48,"2016-04-28 14:49:00",5634874
NVDA,36.47,"2016-04-28 14:49:00",5642217
NVDA,36.4601,"2016-04-28 14:50:00",5655272
NVDA,36.46,"2016-04-28 14:52:00",5660627
NVDA,36.41,"2016-04-28 14:53:00",5675791
NVDA,36.43,"2016-04-28 14:54:00",5709232
NVDA,36.4337,"2016-04-28 14:54:00",5719452
NVDA,36.4262,"2016-04-28 14:56:00",5745445
NVDA,36.4238,"2016-04-28 14:56:00",5768672
NVDA,36.46,"2016-04-28 14:58:00",5790338
NVDA,36.46,"2016-04-28 14:58:00",5810078
NVDA,36.46,"2016-04-28 14:59:00",5812504
NVDA,36.463,"2016-04-28 15:00:00",5817505
NVDA,36.475,"2016-04-28 15:02:00",5829838
NVDA,36.465,"2016-04-28 15:03:00",5839077
NVDA,36.47,"2016-04-28 15:03:00",5877596
NVDA,36.4762,"2016-04-28 15:04:00",5897305
NVDA,36.47,"2016-04-28 15:05:00",5912279
NVDA,36.415,"2016-04-28 15:07:00",5939507
NVDA,36.43,"2016-04-28 15:07:00",5966420
NVDA,36.435,"2016-04-28 15:08:00",5982886
NVDA,36.39,"2016-04-28 15:10:00",6031277
NVDA,36.42,"2016-04-28 15:11:00",6056286
NVDA,36.411,"2016-04-28 15:11:00",6071517
NVDA,36.385,"2016-04-28 15:12:00",6116706
NVDA,36.355,"2016-04-28 15:13:00",6135385
NVDA,36.33,"2016-04-28 15:15:00",6152700
NVDA,36.32,"2016-04-28 15:15:00",6189127
NVDA,36.305,"2016-04-28 15:16:00",6210279
NVDA,36.351,"2016-04-28 15:17:00",6247016
NVDA,36.31,"2016-04-28 15:19:00",6276353
NVDA,36.32,"2016-04-28 15:19:00",6304859
NVDA,36.3,"2016-04-28 15:21:00",6390631
NVDA,36.32,"2016-04-28 15:22:00",6428537
NVDA,36.305,"2016-04-28 15:23:00",6443701
NVDA,36.255,"2016-04-28 15:24:00",6473258
NVDA,36.261,"2016-04-28 15:24:00",6503339
NVDA,36.18,"2016-04-28 15:25:00",6620974
NVDA,36.22,"2016-04-28 15:26:00",6679451
NVDA,36.27,"2016-04-28 15:28:00",6710085
NVDA,36.255,"2016-04-28 15:28:00",6747354
NVDA,36.17,"2016-04-28 15:29:00",6779593
NVDA,36.215,"2016-04-28 15:31:00",6806197
NVDA,36.24,"2016-04-28 15:32:00",6862290
NVDA,36.22,"2016-04-28 15:33:00",6903819
NVDA,36.1637,"2016-04-28 15:33:00",6924248
NVDA,36.1682,"2016-04-28 15:35:00",6964372
NVDA,36.1701,"2016-04-28 15:35:00",7006757
NVDA,36.2,"2016-04-28 15:37:00",7037514
NVDA,36.165,"2016-04-28 15:38:00",7078908
NVDA,36.14,"2016-04-28 15:39:00",7130878
NVDA,36.13,"2016-04-28 15:40:00",7177576
NVDA,36.13,"2016-04-28 15:40:00",7218038
NVDA,36.15,"2016-04-28 15:41:00",7365247
NVDA,36.17,"2016-04-28 15:43:00",7473722
NVDA,36.235,"2016-04-28 15:51:00",8153370
NVDA,36.2338,"2016-04-28 15:51:00",8194796
NVDA,36.19,"2016-04-28 15:53:00",8259004
NVDA,36.1701,"2016-04-28 15:53:00",8316962
NVDA,36.18,"2016-04-28 15:55:00",8430503
NVDA,36.185,"2016-04-28 15:55:00",8517254
NVDA,36.15,"2016-04-28 15:57:00",8574019
NVDA,36.15,"2016-04-28 15:58:00",8676315
NVDA,36.145,"2016-04-28 15:58:00",8742844
NVDA,36.2,"2016-04-28 16:00:00",9313727
NVDA,36.2,"2016-04-28 16:00:00",9319438
NVDA,36.2,"2016-04-28 16:00:00",9319438
NVDA,36.2,"2016-04-28 16:00:00",9319438
NVDA,36.2,"2016-04-28 16:00:00",9321981
NVDA,36.2,"2016-04-28 16:00:00",9321981
NVDA,36.2,"2016-04-28 16:00:00",9324285
NVDA,36.2,"2016-04-28 16:00:00",9324495
NVDA,36.2,"2016-04-28 16:00:00",9324495
NVDA,36.2,"2016-04-28 16:00:00",9324837
NVDA,36.2,"2016-04-28 16:00:00",9324837
NVDA,36.2,"2016-04-28 16:00:00",9324837
NVDA,36.2,"2016-04-28 16:00:00",9324837
NVDA,36.2,"2016-04-28 16:00:00",9324837
NVDA,36.2,"2016-04-28 16:00:00",9324837
NVDA,36.2,"2016-04-28 16:00:00",9325008
NVDA,36.2,"2016-04-28 16:00:00",9372108
NVDA,36.2,"2016-04-28 16:00:00",9372108
NVDA,36.2,"2016-04-28 16:00:00",9372108
NVDA,36.2,"2016-04-28 16:00:00",9372478
NVDA,36.2,"2016-04-28 16:00:00",9435672
NVDA,36.2,"2016-04-28 16:00:00",9436068
NVDA,36.2,"2016-04-28 16:00:00",9451584
NVDA,36.2,"2016-04-28 16:00:00",9451584
NVDA,36.2,"2016-04-28 16:00:00",9451584
NVDA,36.2,"2016-04-28 16:00:00",9451584
NVDA,36.2,"2016-04-28 16:00:00",9451584
NVDA,36.2,"2016-04-28 16:00:00",9451584
NVDA,36.2,"2016-04-28 16:00:00",9499210
NVDA,36.2,"2016-04-28 16:00:00",9528878
NVDA,36.2,"2016-04-28 16:00:00",9528878
NVDA,36.2,"2016-04-28 16:00:00",9528878
NVDA,36.2,"2016-04-28 16:00:00",9528878
NVDA,36.2,"2016-04-28 16:00:00",9529378
NVDA,36.2,"2016-04-28 16:00:00",9529613
NVDA,36.2,"2016-04-28 16:00:00",9529613
NVDA,36.2,"2016-04-28 16:00:00",9529613
NVDA,36.2,"2016-04-28 16:00:00",9529613
NVDA,36.2,"2016-04-28 16:00:00",9529703
NVDA,36.2,"2016-04-28 16:00:00",9529703
NVDA,36.2,"2016-04-28 16:00:00",9529703
NVDA,36.2,"2016-04-28 16:00:00",9529703
NVDA,36.2,"2016-04-28 16:00:00",9529703
NVDA,36.2,"2016-04-28 16:00:00",9529703
NVDA,36.2,"2016-04-28 16:00:00",9529703
