stockid,open,high,low,close,histtime,volume
TSLA,200,203.79,190.5,198.51,2014-04-28,7042000
TSLA,198.21,207.15,195.53,206.92,2014-04-29,5779100
TSLA,203.6,208.16,201.28,207.89,2014-04-30,4440600
TSLA,207.08,214.02,205.69,207.73,2014-05-01,5439900
TSLA,208.6,211.36,206.52,210.91,2014-05-02,4086800
TSLA,209.48,217.69,208.52,216.61,2014-05-05,5147000
TSLA,216.6,218.66,206.85,207.28,2014-05-06,5636700
TSLA,209.64,210.2,197.25,201.35,2014-05-07,10179300
TSLA,182,194.4,178,178.59,2014-05-08,20056600
TSLA,179.86,183.4,177.22,182.26,2014-05-09,8495200
TSLA,183.87,187.19,179.88,184.67,2014-05-12,7002300
TSLA,183.76,191.34,183,190.16,2014-05-13,7097200
TSLA,188.95,193.48,187.1,190.62,2014-05-14,5406700
TSLA,189.98,192.66,185.3,188.59,2014-05-15,6040400
TSLA,188.95,192.04,187.72,191.56,2014-05-16,4487700
TSLA,190.72,196.89,190,196.09,2014-05-19,4571700
TSLA,196.94,199.33,193.07,195.3,2014-05-20,5546100
TSLA,196.18,199.87,194.79,199.45,2014-05-21,5285400
TSLA,200.35,206.88,199.56,204.88,2014-05-22,6214500
TSLA,204.53,207.76,202.5,207.3,2014-05-23,4006800
TSLA,208.52,213.87,207.7,211.56,2014-05-27,5341100
TSLA,210.02,212.77,205.26,210.24,2014-05-28,5495100
TSLA,210.57,212.49,207.72,210.24,2014-05-29,3692500
TSLA,210.3,214.8,207.02,207.77,2014-05-30,5581100
TSLA,207.33,209.35,201.67,204.7,2014-06-02,4668100
TSLA,203.49,208,202.59,204.94,2014-06-03,3860800
TSLA,204.35,206.26,200.4,203.99,2014-06-04,3427400
TSLA,204.47,209.2,204.05,206.9,2014-06-05,4054600
TSLA,209.75,210.81,207.18,208.17,2014-06-06,3073800
TSLA,207.95,209.99,204.2,205.31,2014-06-09,2805700
TSLA,204.43,206.97,201.55,202.3,2014-06-10,3514700
TSLA,201.5,205,199.25,204.47,2014-06-11,3977500
TSLA,205.1,209.88,202.71,203.52,2014-06-12,5993700
TSLA,204.78,206.79,201.58,206.42,2014-06-13,3544300
TSLA,206.76,225.49,206.26,224.61,2014-06-16,13246400
TSLA,224.11,235.54,222.85,231.67,2014-06-17,13304900
TSLA,231.5,231.71,226.12,227.12,2014-06-18,6940200
TSLA,228.88,235.31,227,227.79,2014-06-19,8793100
TSLA,228.52,231.29,226.2,229.59,2014-06-20,4903900
TSLA,229.51,238.99,228.22,237.22,2014-06-23,7791100
TSLA,238.97,241.88,231.63,232.5,2014-06-24,8075900
TSLA,233.05,237.55,230.24,236.89,2014-06-25,5801600
TSLA,237.17,240.4,234.21,235.6,2014-06-26,5121400
TSLA,234.69,240,234.5,239.06,2014-06-27,5635000
TSLA,239.55,244.49,239,240.06,2014-06-30,4828600
TSLA,242.46,243.44,238.7,239.72,2014-07-01,4336100
TSLA,240.66,242.33,227.07,229.43,2014-07-02,8027400
TSLA,231.29,231.9,224,229.25,2014-07-03,5166700
TSLA,227.5,229.78,220.4,222.66,2014-07-07,5893700
TSLA,218.65,220.96,214.27,219.07,2014-07-08,7836200
TSLA,221.27,224.22,219.21,223.06,2014-07-09,4115400
TSLA,217.18,222.22,216.04,219.46,2014-07-10,4863900
TSLA,220.61,221.6,217.6,218.13,2014-07-11,3302300
TSLA,219.99,228.79,215.45,226.7,2014-07-14,7203200
TSLA,226.73,227.65,218.1,219.58,2014-07-15,5718500
TSLA,221.82,224.8,216.82,217.16,2014-07-16,4044500
TSLA,216.16,220.55,213.6,215.4,2014-07-17,4649400
TSLA,215.95,221.21,215.93,220.02,2014-07-18,4253700
TSLA,217.25,223.21,216.72,220.54,2014-07-21,3822200
TSLA,222.19,223.3,219.11,219.58,2014-07-22,2730000
TSLA,220.01,224.75,219.43,222.49,2014-07-23,3083300
TSLA,223.25,225.1,220.8,223.54,2014-07-24,3245500
TSLA,222.72,226.97,221.75,223.57,2014-07-25,3087100
TSLA,224.25,232,221.4,224.82,2014-07-28,6514300
TSLA,226.61,228.3,224.86,225.01,2014-07-29,3382400
TSLA,221.92,229.6,221.04,228.92,2014-07-30,4927800
TSLA,229.26,231.4,221.5,223.3,2014-07-31,7749100
TSLA,226.09,237.5,226,233.27,2014-08-01,11895800
TSLA,234.38,240.5,233.27,238.52,2014-08-04,5959700
TSLA,237.47,242.99,235.69,238.49,2014-08-05,5388600
TSLA,238.9,251.42,238.58,248.93,2014-08-06,9249300
TSLA,250.12,256.69,249.12,252.39,2014-08-07,7478900
TSLA,251.16,251.76,246.5,248.13,2014-08-08,5090100
TSLA,255.48,263.74,255,259.32,2014-08-11,8101300
TSLA,258.08,260.3,254.58,259.96,2014-08-12,6382300
TSLA,262.01,265.64,259.61,260.31,2014-08-13,6932600
TSLA,262.49,263,256.5,261.38,2014-08-14,4126600
TSLA,261.48,262.09,258.5,262.01,2014-08-15,3867900
TSLA,263.25,267.26,259.75,259.94,2014-08-18,5849200
TSLA,258.87,259.33,251.62,256.76,2014-08-19,5334800
TSLA,254.67,258.74,253,255.71,2014-08-20,3027900
TSLA,256.52,258.8,253.26,254.34,2014-08-21,2915600
TSLA,254.54,256.95,252.61,256.78,2014-08-22,2833400
TSLA,258.19,263.68,258.19,262.55,2014-08-25,4318100
TSLA,264.98,265.5,261.66,261.74,2014-08-26,3818000
TSLA,263.5,264.24,260.29,263.25,2014-08-27,2985100
TSLA,261.89,264.48,261.64,263.86,2014-08-28,2844900
TSLA,268.7,272,267.51,269.7,2014-08-29,6447100
TSLA,275.5,284.89,274.3,284.12,2014-09-02,9852400
TSLA,287.67,288,280.1,281.19,2014-09-03,6772300
TSLA,284.01,291.42,280.4,286.04,2014-09-04,8341700
TSLA,282.55,282.9,272.51,277.39,2014-09-05,11169900
TSLA,277.62,284.88,277.52,282.11,2014-09-08,5501600
TSLA,282.99,285.49,277,278.48,2014-09-09,4558800
TSLA,279.5,281.41,273.66,281.1,2014-09-10,3781300
TSLA,280.46,284.79,278.63,280.31,2014-09-11,3766100
TSLA,280.5,282.39,277,279.2,2014-09-12,3324600
TSLA,274.37,274.4,249.13,253.86,2014-09-15,16455400
TSLA,255.15,262.46,252.42,260.74,2014-09-16,8300100
TSLA,262.41,264.7,259.5,261.38,2014-09-17,5177700
TSLA,263.36,265.6,262.32,263.82,2014-09-18,3692600
TSLA,257.99,261.43,255.27,259.32,2014-09-19,6810900
TSLA,255,256.02,244.71,250.03,2014-09-22,8214100
TSLA,245.22,253.8,245,250.41,2014-09-23,5658700
TSLA,251.12,252.84,247.04,252.14,2014-09-24,3749500
