stockid,price,realtime,volume
TSLA,251.74,"2016-04-28 10:46:00",796406
TSLA,251.72,"2016-04-28 10:47:00",801255
TSLA,251.77,"2016-04-28 10:48:00",804124
TSLA,251.75,"2016-04-28 10:49:00",806755
TSLA,251.69,"2016-04-28 10:50:00",809305
TSLA,251.69,"2016-04-28 10:51:00",816088
TSLA,251.58,"2016-04-28 10:53:00",828246
TSLA,251.7,"2016-04-28 10:53:00",831006
TSLA,251.77,"2016-04-28 10:54:00",841185
TSLA,251.94,"2016-04-28 10:56:00",851390
TSLA,251.97,"2016-04-28 10:56:00",856637
TSLA,251.84,"2016-04-28 10:57:00",867647
TSLA,252.059,"2016-04-28 10:58:00",876801
TSLA,252.025,"2016-04-28 11:00:00",883256
TSLA,252.29,"2016-04-28 11:00:00",887291
TSLA,252.12,"2016-04-28 11:01:00",892822
TSLA,252.65,"2016-04-28 11:02:00",904185
TSLA,252.52,"2016-04-28 11:03:00",906593
TSLA,252.698,"2016-04-28 11:04:00",918795
TSLA,252.79,"2016-04-28 11:05:00",922376
TSLA,252.908,"2016-04-28 11:06:00",926506
TSLA,252.69,"2016-04-28 11:07:00",929073
TSLA,252.73,"2016-04-28 11:08:00",929950
TSLA,252.74,"2016-04-28 11:09:00",931654
TSLA,252.69,"2016-04-28 11:10:00",936492
TSLA,252.5,"2016-04-28 11:11:00",954780
TSLA,252.455,"2016-04-28 11:12:00",959259
TSLA,252.55,"2016-04-28 11:13:00",969464
TSLA,252.65,"2016-04-28 11:15:00",976528
TSLA,252.75,"2016-04-28 11:15:00",978315
TSLA,252.52,"2016-04-28 11:16:00",986149
TSLA,252.58,"2016-04-28 11:17:00",987108
TSLA,252.74,"2016-04-28 11:19:00",992923
TSLA,252.69,"2016-04-28 11:19:00",1003591
TSLA,253.05,"2016-04-28 11:20:00",1014701
TSLA,253,"2016-04-28 11:21:00",1021766
TSLA,253.106,"2016-04-28 11:22:00",1023803
TSLA,253.3,"2016-04-28 11:28:00",1051855
TSLA,253.246,"2016-04-28 11:29:00",1052849
TSLA,253.43,"2016-04-28 11:31:00",1054208
TSLA,253.34,"2016-04-28 11:31:00",1055229
TSLA,253.26,"2016-04-28 11:32:00",1058398
TSLA,253,"2016-04-28 11:34:00",1060946
TSLA,252.931,"2016-04-28 11:34:00",1064014
TSLA,252.95,"2016-04-28 11:35:00",1064740
TSLA,252.55,"2016-04-28 11:36:00",1072698
TSLA,252.595,"2016-04-28 11:37:00",1074183
TSLA,252.749,"2016-04-28 11:38:00",1075552
TSLA,252.99,"2016-04-28 11:40:00",1081990
TSLA,253.03,"2016-04-28 11:40:00",1088426
TSLA,252.865,"2016-04-28 11:41:00",1093231
TSLA,252.75,"2016-04-28 11:42:00",1098058
TSLA,252.9,"2016-04-28 11:43:00",1098778
TSLA,252.473,"2016-04-28 11:44:00",1103882
TSLA,252.645,"2016-04-28 11:45:00",1105619
TSLA,252.79,"2016-04-28 11:46:00",1105947
TSLA,252.36,"2016-04-28 11:47:00",1117109
TSLA,252.16,"2016-04-28 11:48:00",1124326
TSLA,252.145,"2016-04-28 11:50:00",1127396
TSLA,252.188,"2016-04-28 11:50:00",1128786
TSLA,251.63,"2016-04-28 11:52:00",1141392
TSLA,251.66,"2016-04-28 11:53:00",1158406
TSLA,251.9,"2016-04-28 11:54:00",1174085
TSLA,251.97,"2016-04-28 11:54:00",1176783
TSLA,252.05,"2016-04-28 11:55:00",1178136
TSLA,252.25,"2016-04-28 11:56:00",1181349
TSLA,252,"2016-04-28 11:58:00",1185303
TSLA,252.21,"2016-04-28 11:59:00",1187818
TSLA,252.45,"2016-04-28 11:59:00",1191361
TSLA,252.65,"2016-04-29 00:00:00",1194567
TSLA,252.76,"2016-04-29 00:01:00",1196379
TSLA,252.6,"2016-04-29 00:02:00",1198979
TSLA,252.7,"2016-04-29 00:04:00",1211539
TSLA,252.947,"2016-04-29 00:04:00",1221236
TSLA,253.04,"2016-04-29 00:05:00",1227097
TSLA,252.887,"2016-04-29 00:06:00",1229866
TSLA,252.58,"2016-04-29 00:07:00",1231109
TSLA,252.6,"2016-04-29 00:08:00",1232469
TSLA,252.69,"2016-04-29 00:09:00",1234148
TSLA,252.63,"2016-04-29 00:10:00",1235635
TSLA,252.85,"2016-04-29 00:11:00",1241126
TSLA,252.75,"2016-04-29 00:12:00",1243456
TSLA,252.57,"2016-04-29 00:14:00",1245847
TSLA,252.65,"2016-04-29 00:14:00",1250357
TSLA,252.608,"2016-04-29 00:15:00",1253505
