stockid,open,high,low,close,histtime,volume
TWTR,41.76,42.35,39.3,40.73,2014-04-28,14358900
TWTR,40.53,43.97,40.17,42.62,2014-04-29,28127700
TWTR,37.66,38.98,37.24,38.97,2014-04-30,38397900
TWTR,39.01,40.77,38.97,39.09,2014-05-01,15759800
TWTR,39.2,39.86,38.7,39.02,2014-05-02,12729500
TWTR,38.52,39.6,38.05,38.75,2014-05-05,10405200
TWTR,35.61,36.1,31.72,31.85,2014-05-06,134710000
TWTR,31.97,32,29.51,30.66,2014-05-07,68876300
TWTR,31.48,32.98,31.13,31.96,2014-05-08,51282800
TWTR,32.23,33.11,31.75,32.05,2014-05-09,31888800
TWTR,33.08,34.1,32.4,33.94,2014-05-12,34712700
TWTR,33.84,34.06,32.89,33.39,2014-05-13,24676800
TWTR,33.35,33.83,32.62,32.85,2014-05-14,20029400
TWTR,33.02,33.29,32.16,32.77,2014-05-15,22030500
TWTR,32.95,33.21,32.02,32.26,2014-05-16,21391400
TWTR,32.05,32.44,31.64,32.07,2014-05-19,15952800
TWTR,32,32.39,31.52,31.77,2014-05-20,16580500
TWTR,31.85,31.95,31.15,31.75,2014-05-21,15562600
TWTR,31.33,32.25,30.52,31.52,2014-05-22,35566200
TWTR,31.51,31.68,30.45,30.5,2014-05-23,27448000
TWTR,30.94,31.2,30.38,30.51,2014-05-27,25240100
TWTR,31.5,33.84,31.09,33.77,2014-05-28,60302800
TWTR,34.67,35.14,33.88,34,2014-05-29,54016300
TWTR,33.73,33.86,32.11,32.44,2014-05-30,40566000
TWTR,32.89,33.2,31.62,31.75,2014-06-02,31154200
TWTR,31.73,32.69,31.65,32.58,2014-06-03,19948800
TWTR,32.49,33.32,31.85,32.9,2014-06-04,24863000
TWTR,33.67,34.89,33.11,33.89,2014-06-05,40904900
TWTR,34.14,34.41,33.22,33.33,2014-06-06,23353200
TWTR,33.24,34.55,33.09,34.47,2014-06-09,23397200
TWTR,34.73,35.5,34.66,35.37,2014-06-10,36503400
TWTR,35.07,35.97,34.93,35.54,2014-06-11,30021300
TWTR,35.06,37.27,35.06,36.79,2014-06-12,58146100
TWTR,36.85,37.25,35.9,36.9,2014-06-13,29129900
TWTR,36.7,38.17,36.44,38.02,2014-06-16,29889300
TWTR,38.03,38.55,37.3,38.02,2014-06-17,30321500
TWTR,38.16,38.83,37.75,38.74,2014-06-18,23707500
TWTR,38.73,39.3,38.32,38.9,2014-06-19,24648300
TWTR,38.82,39.24,37.77,39.24,2014-06-20,41501100
TWTR,39.07,39.58,38.73,39.52,2014-06-23,22591300
TWTR,39.44,39.64,38.26,38.48,2014-06-24,24477900
TWTR,38.24,39.59,38.01,39.46,2014-06-25,25457200
TWTR,40.05,42,39.81,41.44,2014-06-26,45348500
TWTR,40.7,41.15,40.11,40.93,2014-06-27,48253400
TWTR,40.81,41.34,40.35,40.97,2014-06-30,22783000
TWTR,42.06,42.95,41.91,42.05,2014-07-01,36019300
TWTR,42.83,42.83,41.42,41.77,2014-07-02,24377500
TWTR,41.94,42,40.83,41.33,2014-07-03,15795100
TWTR,41.08,41.45,40.14,40.23,2014-07-07,21454500
TWTR,39.96,40.04,36.84,37.41,2014-07-08,49952000
TWTR,37.82,38.35,37.35,38.06,2014-07-09,26838300
TWTR,36.49,38.1,36.11,37.84,2014-07-10,26549700
TWTR,38.15,38.79,38,38.33,2014-07-11,21084800
TWTR,38.57,39.38,38.2,38.31,2014-07-14,19705000
TWTR,38.59,38.99,37.62,37.88,2014-07-15,24630600
TWTR,38.31,38.52,37.1,37.43,2014-07-16,19726500
TWTR,36.8,37.17,36.38,36.87,2014-07-17,22631500
TWTR,36.81,37.08,35.95,37.05,2014-07-18,26435500
TWTR,37.23,38.29,36.85,38.05,2014-07-21,19685400
TWTR,38.31,38.6,37.45,37.65,2014-07-22,16837800
TWTR,37.65,38.19,37.56,37.75,2014-07-23,13220700
TWTR,38.71,39,37.85,38.71,2014-07-24,22105600
TWTR,38.2,38.8,38.02,38.16,2014-07-25,15980800
TWTR,38.3,38.44,37.56,37.93,2014-07-28,16781700
TWTR,38.11,38.92,37.99,38.59,2014-07-29,65338000
TWTR,47.01,48,45.65,46.3,2014-07-30,116195900
TWTR,44.62,45.84,44.3,45.19,2014-07-31,47170200
TWTR,45.01,45.54,43.81,44.13,2014-08-01,37194800
TWTR,43.7,44.53,43.44,43.47,2014-08-04,22425000
TWTR,43.25,44.48,43.02,43.83,2014-08-05,26404100
TWTR,43.39,44.04,42.75,43.46,2014-08-06,20355300
TWTR,43.37,44.37,42.89,43,2014-08-07,25389100
TWTR,43.02,43.36,42.51,43.13,2014-08-08,14967900
TWTR,43.48,43.6,42.71,43.27,2014-08-11,18420300
TWTR,44.38,44.72,43.61,43.81,2014-08-12,29582300
TWTR,44.12,44.34,43.62,44.15,2014-08-13,16180800
TWTR,44.4,45.34,44.04,45.33,2014-08-14,23638900
TWTR,45.47,45.5,44.44,44.76,2014-08-15,17776700
TWTR,45.06,45.33,44.77,45.12,2014-08-18,14835400
TWTR,45.24,45.45,45.03,45.09,2014-08-19,11903400
TWTR,44.93,45.21,44.76,45.06,2014-08-20,10383200
TWTR,45.29,45.35,44.84,45.11,2014-08-21,10619300
TWTR,45.04,46.14,44.8,45.98,2014-08-22,19429800
TWTR,46.22,46.36,45.7,46.1,2014-08-25,17583500
TWTR,46.1,48.2,46.04,48.17,2014-08-26,27716200
TWTR,48.24,48.46,47.18,48.06,2014-08-27,26127600
TWTR,47.98,49.88,47.86,49.43,2014-08-28,35076300
TWTR,49.89,50.35,49.13,49.75,2014-08-29,31926900
TWTR,50.02,51.34,49.9,51.02,2014-09-02,28267200
TWTR,51.83,51.85,49.05,49.33,2014-09-03,34411200
TWTR,49.69,50.86,49.22,50.24,2014-09-04,24413100
TWTR,50.09,50.88,49.52,50.7,2014-09-05,20251400
TWTR,51.8,52.68,51.68,52,2014-09-08,30836400
TWTR,52.23,52.4,50.22,50.61,2014-09-09,25034400
TWTR,52.11,53.33,51.85,52.91,2014-09-10,38057700
TWTR,52.55,53.64,52.18,52.64,2014-09-11,38055400
TWTR,52.55,52.82,52.02,52.11,2014-09-12,22986500
TWTR,51.6,51.93,47.56,49.38,2014-09-15,38374100
TWTR,48.7,50.91,48.4,50.83,2014-09-16,26744800
TWTR,50.97,51.6,50.16,50.7,2014-09-17,22874400
TWTR,50.97,51.88,50.53,50.88,2014-09-18,22484800
TWTR,50.78,53,50.18,53,2014-09-19,38192600
TWTR,52.38,52.9,51.36,51.94,2014-09-22,21744400
TWTR,51.46,52.56,51.02,52.17,2014-09-23,19990500
TWTR,52.55,53.34,52.13,52.96,2014-09-24,17656100
TWTR,52.71,53.23,51.27,51.45,2014-09-25,21071500
TWTR,51.97,52.61,51.7,51.89,2014-09-26,14125300
TWTR,51.09,52.18,50.88,51.74,2014-09-29,15404300
TWTR,52,52.19,51.17,51.58,2014-09-30,12315700
TWTR,51.08,51.29,49.15,50.06,2014-10-01,24733500
TWTR,51.03,52.1,50.01,51.85,2014-10-02,27056500
TWTR,52.75,54.73,52.11,53.94,2014-10-03,31227200
TWTR,53.94,54.45,53.23,53.49,2014-10-06,20033400
TWTR,53.12,54.99,53.1,53.53,2014-10-07,26082300
TWTR,53.62,55.67,52.6,55.42,2014-10-08,31098500
TWTR,55.29,55.99,54.92,55.29,2014-10-09,29741400
TWTR,54.57,55.66,50.3,50.4,2014-10-10,46727300
TWTR,50.54,51.91,48.26,48.49,2014-10-13,35326800
TWTR,49.06,49.53,47.08,48.58,2014-10-14,29723600
TWTR,47.11,50.52,46.38,49.99,2014-10-15,34371500
TWTR,48.34,49.82,47.17,48.23,2014-10-16,30818800
TWTR,49.72,50.25,48.65,48.77,2014-10-17,24630600
TWTR,49.07,50.89,48.8,50.7,2014-10-20,17781100
TWTR,51.76,52.15,50.3,50.63,2014-10-21,21351000
TWTR,51.13,51.84,49,49.08,2014-10-22,26109900
TWTR,50.13,50.4,49.2,49.67,2014-10-23,23099800
TWTR,50.16,50.19,49.15,49.95,2014-10-24,12035200
TWTR,50.02,50.24,47.18,48.56,2014-10-27,51896300
TWTR,42.25,44.58,41.76,43.78,2014-10-28,83179400
TWTR,43.85,44.16,41.81,42.08,2014-10-29,40261900
TWTR,41.56,42.48,39.94,41.8,2014-10-30,42012600
TWTR,42.69,42.85,41.34,41.47,2014-10-31,23895100
TWTR,40.55,41.2,40.16,40.21,2014-11-03,31441900
TWTR,40.03,41.1,39.75,40.9,2014-11-04,19544300
TWTR,41.69,41.8,40.13,40.37,2014-11-05,19742200
TWTR,40.19,41.35,40.1,40.84,2014-11-06,16292100
TWTR,40.74,40.74,39.7,40.31,2014-11-07,18558900
TWTR,40.34,40.69,39.42,39.59,2014-11-10,19069300
TWTR,39.31,39.84,38.81,39.59,2014-11-11,19176600
TWTR,39.94,42.94,39.6,42.54,2014-11-12,51814100
TWTR,43.55,43.95,39.95,40.04,2014-11-13,67287400
TWTR,40.02,41.85,39.77,41.85,2014-11-14,33059800
TWTR,41.46,41.68,40.41,40.47,2014-11-17,20665200
TWTR,40.69,41.17,39.95,40.61,2014-11-18,18605000
TWTR,40.35,40.47,39.21,39.71,2014-11-19,19050100
TWTR,39.49,40.55,39.32,39.81,2014-11-20,13717100
TWTR,40.25,40.28,39.8,40.03,2014-11-21,12066600
TWTR,39.99,40.47,39.58,40.19,2014-11-24,15176000
TWTR,40.12,40.3,39.56,39.76,2014-11-25,16165100
TWTR,39.83,41.56,39.74,41.13,2014-11-26,23773300
TWTR,41.09,42.08,40.83,41.74,2014-11-28,11113900
TWTR,41.29,41.29,39,39.04,2014-12-01,22214000
TWTR,39.4,39.4,38.33,38.91,2014-12-02,16394300
TWTR,39,39.42,38.38,39.06,2014-12-03,13241300
TWTR,38.8,39.66,38.62,38.79,2014-12-04,13012200
