stockid,price,realtime,volume
TWTR,15.018,"2016-04-28 11:29:00",16924096
TWTR,14.9901,"2016-04-28 11:29:00",17016825
TWTR,15.0025,"2016-04-28 11:31:00",17087041
TWTR,15.0025,"2016-04-28 11:32:00",17118354
TWTR,15.01,"2016-04-28 11:32:00",17133862
TWTR,14.98,"2016-04-28 11:33:00",17205348
TWTR,14.9835,"2016-04-28 11:34:00",17235107
TWTR,14.9899,"2016-04-28 11:35:00",17262970
TWTR,14.985,"2016-04-28 11:36:00",17282629
TWTR,14.9899,"2016-04-28 11:37:00",17295803
TWTR,14.9801,"2016-04-28 11:39:00",17331130
TWTR,15,"2016-04-28 11:40:00",17379931
TWTR,14.9801,"2016-04-28 11:40:00",17585113
TWTR,14.975,"2016-04-28 11:41:00",17654833
TWTR,14.99,"2016-04-28 11:43:00",17718431
TWTR,14.9964,"2016-04-28 11:43:00",17739790
TWTR,14.9965,"2016-04-28 11:45:00",17752843
TWTR,14.99,"2016-04-28 11:46:00",17782490
TWTR,14.99,"2016-04-28 11:46:00",17822255
TWTR,14.981,"2016-04-28 11:47:00",17837896
TWTR,14.985,"2016-04-28 11:48:00",17850913
TWTR,14.99,"2016-04-28 11:49:00",17868504
TWTR,14.9865,"2016-04-28 11:50:00",17880110
TWTR,14.955,"2016-04-28 11:52:00",17967578
TWTR,14.96,"2016-04-28 11:52:00",18023181
TWTR,14.9699,"2016-04-28 11:53:00",18062966
TWTR,14.955,"2016-04-28 11:55:00",18093069
TWTR,14.9301,"2016-04-28 11:55:00",18184198
TWTR,14.9399,"2016-04-28 11:56:00",18200019
TWTR,14.94,"2016-04-28 11:57:00",18221231
TWTR,14.9635,"2016-04-28 11:59:00",18292245
TWTR,14.969,"2016-04-28 11:59:00",18324270
TWTR,14.97,"2016-04-29 00:00:00",18349052
TWTR,14.9801,"2016-04-29 00:01:00",18379433
TWTR,14.9832,"2016-04-29 00:02:00",18400916
TWTR,14.9801,"2016-04-29 00:03:00",18425375
TWTR,14.99,"2016-04-29 00:04:00",18441925
TWTR,14.99,"2016-04-29 00:05:00",18467970
TWTR,14.985,"2016-04-29 00:06:00",18494834
TWTR,14.99,"2016-04-29 00:07:00",18524706
TWTR,14.9868,"2016-04-29 00:08:00",18531863
TWTR,14.9801,"2016-04-29 00:10:00",18669610
TWTR,14.9701,"2016-04-29 00:11:00",18697367
TWTR,14.9732,"2016-04-29 00:11:00",18720600
TWTR,14.95,"2016-04-29 00:13:00",18784777
TWTR,14.945,"2016-04-29 00:14:00",18813414
TWTR,14.94,"2016-04-29 00:14:00",18828652
TWTR,14.9363,"2016-04-29 00:15:00",18862403
TWTR,14.9324,"2016-04-29 00:16:00",18880710
TWTR,14.93,"2016-04-29 00:17:00",18908264
TWTR,14.9301,"2016-04-29 00:19:00",18914616
TWTR,14.925,"2016-04-29 00:19:00",18952666
TWTR,14.925,"2016-04-29 00:20:00",19008822
TWTR,14.8901,"2016-04-29 00:22:00",19127247
