stockid,open,high,low,close,histtime,volume
YHOO,34.67,35,33.65,33.99,2014-04-28,31019200
YHOO,34.37,35.89,34.12,35.83,2014-04-29,28736000
YHOO,35.89,36.44,35.25,35.95,2014-04-30,23341500
YHOO,36.26,36.69,36,36.51,2014-05-01,19474700
YHOO,36.59,37.12,36.21,36.87,2014-05-02,22454100
YHOO,36.68,37.05,36.3,36.91,2014-05-05,13129100
YHOO,36.94,37.17,36.48,36.49,2014-05-06,19156000
YHOO,35.99,35.99,33.67,34.07,2014-05-07,66062700
YHOO,33.88,34.57,33.61,33.92,2014-05-08,30407700
YHOO,34.01,34.1,33.41,33.76,2014-05-09,20303400
YHOO,33.99,34.6,33.87,34.45,2014-05-12,22520600
YHOO,34.43,34.69,34.17,34.4,2014-05-13,12477100
YHOO,34.48,34.65,33.98,34.17,2014-05-14,17039000
YHOO,34.18,34.19,33.4,33.8,2014-05-15,18879800
YHOO,33.66,33.66,33.1,33.41,2014-05-16,18847100
YHOO,33.41,33.99,33.28,33.89,2014-05-19,14845700
YHOO,33.99,34.47,33.67,33.87,2014-05-20,18596700
YHOO,34,34.39,33.89,34.36,2014-05-21,13804500
YHOO,34.6,34.86,34.26,34.7,2014-05-22,17522800
YHOO,34.85,35.08,34.51,35.02,2014-05-23,16294400
YHOO,35,35.13,34.73,35.12,2014-05-27,13057000
YHOO,35.15,35.17,34.42,34.78,2014-05-28,16960500
YHOO,34.9,35.1,34.67,34.9,2014-05-29,9780800
YHOO,34.92,34.93,34.13,34.65,2014-05-30,13153000
YHOO,34.69,34.95,34.28,34.87,2014-06-02,9178900
YHOO,34.8,34.97,34.58,34.65,2014-06-03,6557500
YHOO,34.48,34.83,34.26,34.73,2014-06-04,9434100
YHOO,34.79,34.99,34.36,34.94,2014-06-05,11192800
YHOO,35.06,36.08,35.05,35.92,2014-06-06,18707200
YHOO,35.86,36.32,35.54,36.04,2014-06-09,14390000
YHOO,35.87,36.52,35.86,36.31,2014-06-10,9179300
YHOO,36.25,36.84,36.11,36.63,2014-06-11,13321500
YHOO,36.5,36.79,36.34,36.78,2014-06-12,12466100
YHOO,36.88,37.06,36.64,36.94,2014-06-13,12926300
YHOO,35,35.49,34.77,34.81,2014-06-16,32432300
YHOO,34.8,34.94,34.3,34.43,2014-06-17,24402900
YHOO,34.67,35.01,34.26,34.94,2014-06-18,17836000
YHOO,35.14,35.2,34.52,34.68,2014-06-19,16200000
YHOO,34.81,34.81,33.97,34.05,2014-06-20,21605800
YHOO,34.13,34.22,33.37,33.64,2014-06-23,26206400
YHOO,33.79,33.99,33.35,33.48,2014-06-24,14589800
