stockid,price,realtime,volume
YHOO,37.22,"2016-04-28 10:47:00",3108112
YHOO,37.22,"2016-04-28 10:48:00",3122079
YHOO,37.23,"2016-04-28 10:48:00",3138437
YHOO,37.2201,"2016-04-28 10:49:00",3162165
YHOO,37.24,"2016-04-28 10:50:00",3187873
YHOO,37.22,"2016-04-28 10:52:00",3206715
YHOO,37.2301,"2016-04-28 10:52:00",3219454
YHOO,37.21,"2016-04-28 10:53:00",3238205
YHOO,37.22,"2016-04-28 10:55:00",3247277
YHOO,37.22,"2016-04-28 10:55:00",3281724
YHOO,37.23,"2016-04-28 10:57:00",3321501
YHOO,37.22,"2016-04-28 10:57:00",3334561
YHOO,37.24,"2016-04-28 10:58:00",3385134
YHOO,37.26,"2016-04-28 10:59:00",3417312
YHOO,37.23,"2016-04-28 11:00:00",3454088
YHOO,37.24,"2016-04-28 11:01:00",3479909
YHOO,37.23,"2016-04-28 11:03:00",3507809
YHOO,37.28,"2016-04-28 11:03:00",3575868
YHOO,37.27,"2016-04-28 11:05:00",3598490
YHOO,37.305,"2016-04-28 11:05:00",3611914
YHOO,37.28,"2016-04-28 11:06:00",3656145
YHOO,37.26,"2016-04-28 11:08:00",3698098
YHOO,37.31,"2016-04-28 11:08:00",3705718
YHOO,37.27,"2016-04-28 11:09:00",3721057
YHOO,37.28,"2016-04-28 11:10:00",3731188
YHOO,37.283,"2016-04-28 11:11:00",3737716
YHOO,37.28,"2016-04-28 11:12:00",3745483
YHOO,37.3,"2016-04-28 11:14:00",3766130
YHOO,37.34,"2016-04-28 11:15:00",3894287
YHOO,37.345,"2016-04-28 11:15:00",3934053
YHOO,37.34,"2016-04-28 11:16:00",3990765
YHOO,37.35,"2016-04-28 11:18:00",4087627
YHOO,37.37,"2016-04-28 11:19:00",4129206
YHOO,37.34,"2016-04-28 11:19:00",4159494
YHOO,37.37,"2016-04-28 11:21:00",4226504
YHOO,37.35,"2016-04-28 11:22:00",4242426
YHOO,37.35,"2016-04-28 11:22:00",4262923
YHOO,37.36,"2016-04-28 11:29:00",4430900
YHOO,37.365,"2016-04-28 11:30:00",4460379
YHOO,37.37,"2016-04-28 11:31:00",4470035
YHOO,37.35,"2016-04-28 11:31:00",4490853
YHOO,37.35,"2016-04-28 11:32:00",4502907
YHOO,37.35,"2016-04-28 11:34:00",4517753
YHOO,37.35,"2016-04-28 11:35:00",4537782
YHOO,37.42,"2016-04-28 11:35:00",4631171
YHOO,37.41,"2016-04-28 11:37:00",4636572
YHOO,37.42,"2016-04-28 11:37:00",4649425
YHOO,37.41,"2016-04-28 11:39:00",4706311
YHOO,37.41,"2016-04-28 11:39:00",4739322
YHOO,37.43,"2016-04-28 11:40:00",4753567
YHOO,37.43,"2016-04-28 11:41:00",4828354
YHOO,37.386,"2016-04-28 11:43:00",5066663
YHOO,37.35,"2016-04-28 11:44:00",5111779
YHOO,37.36,"2016-04-28 11:44:00",5131527
YHOO,37.39,"2016-04-28 11:45:00",5176324
YHOO,37.405,"2016-04-28 11:46:00",5225267
YHOO,37.4,"2016-04-28 11:47:00",5231857
YHOO,37.4,"2016-04-28 11:48:00",5252080
YHOO,37.4,"2016-04-28 11:49:00",5253676
YHOO,37.4038,"2016-04-28 11:50:00",5290693
YHOO,37.39,"2016-04-28 11:52:00",5356206
YHOO,37.37,"2016-04-28 11:53:00",5374547
YHOO,37.34,"2016-04-28 11:53:00",5392104
YHOO,37.32,"2016-04-28 11:54:00",5419814
YHOO,37.33,"2016-04-28 11:56:00",5447798
YHOO,37.349,"2016-04-28 11:56:00",5460058
YHOO,37.34,"2016-04-28 11:57:00",5463380
YHOO,37.3235,"2016-04-28 11:58:00",5466350
YHOO,37.32,"2016-04-29 00:00:00",5488391
YHOO,37.32,"2016-04-29 00:01:00",5501834
YHOO,37.33,"2016-04-29 00:01:00",5522291
YHOO,37.36,"2016-04-29 00:02:00",5541787
YHOO,37.35,"2016-04-29 00:04:00",5549963
YHOO,37.36,"2016-04-29 00:04:00",5565278
YHOO,37.3637,"2016-04-29 00:06:00",5592490
YHOO,37.365,"2016-04-29 00:07:00",5603867
YHOO,37.36,"2016-04-29 00:08:00",5627226
YHOO,37.37,"2016-04-29 00:08:00",5636463
YHOO,37.36,"2016-04-29 00:09:00",5637854
YHOO,37.36,"2016-04-29 00:10:00",5639805
YHOO,37.355,"2016-04-29 00:11:00",5696897
YHOO,37.3562,"2016-04-29 00:12:00",5708406
YHOO,37.34,"2016-04-29 00:14:00",5734630
YHOO,37.34,"2016-04-29 00:14:00",5800495
YHOO,37.34,"2016-04-29 00:15:00",5820818
YHOO,37.34,"2016-04-29 00:16:00",5852556
YHOO,37.3,"2016-04-29 00:17:00",5866855
YHOO,37.3064,"2016-04-29 00:18:00",5872799
YHOO,37.3,"2016-04-29 00:19:00",5880770
YHOO,37.265,"2016-04-29 00:20:00",5884633
YHOO,37.255,"2016-04-29 00:21:00",5903183
YHOO,37.245,"2016-04-29 00:22:00",5910084
YHOO,37.235,"2016-04-29 00:24:00",5936666
YHOO,37.225,"2016-04-29 00:25:00",5971167
YHOO,37.25,"2016-04-29 00:25:00",6006830
YHOO,37.2501,"2016-04-29 00:26:00",6040523
YHOO,37.27,"2016-04-29 00:27:00",6049461
YHOO,37.271,"2016-04-29 00:28:00",6054963
YHOO,37.27,"2016-04-29 00:30:00",6060456
YHOO,37.26,"2016-04-29 00:30:00",6098944
YHOO,37.25,"2016-04-29 00:31:00",6110466
YHOO,37.26,"2016-04-29 00:32:00",6117828
YHOO,37.25,"2016-04-29 00:33:00",6126153
YHOO,37.26,"2016-04-29 00:34:00",6128612
YHOO,37.25,"2016-04-29 00:35:00",6150154
YHOO,37.25,"2016-04-29 00:36:00",6164123
YHOO,37.25,"2016-04-29 00:37:00",6172963
YHOO,37.25,"2016-04-29 00:38:00",6177786
YHOO,37.25,"2016-04-29 00:39:00",6194132
YHOO,37.25,"2016-04-29 00:40:00",6205845
YHOO,37.24,"2016-04-29 00:41:00",6216092
YHOO,37.25,"2016-04-29 00:42:00",6223653
YHOO,37.26,"2016-04-29 00:43:00",6231017
YHOO,37.28,"2016-04-29 00:44:00",6249901
YHOO,37.26,"2016-04-29 00:46:00",6254574
YHOO,37.25,"2016-04-29 00:46:00",6260092
YHOO,37.25,"2016-04-29 00:48:00",6270305
YHOO,37.24,"2016-04-29 00:48:00",6285651
YHOO,37.24,"2016-04-29 00:49:00",6290560
YHOO,37.24,"2016-04-29 00:51:00",6341769
YHOO,37.2362,"2016-04-29 00:51:00",6411940
YHOO,37.235,"2016-04-29 00:52:00",6415763
YHOO,37.235,"2016-04-29 00:53:00",6419961
YHOO,37.21,"2016-04-29 00:55:00",6437242
YHOO,37.21,"2016-04-29 00:55:00",6461601
YHOO,37.205,"2016-04-29 00:56:00",6463700
YHOO,37.205,"2016-04-29 00:57:00",6488436
YHOO,37.215,"2016-04-29 00:58:00",6502300
YHOO,37.2162,"2016-04-29 00:59:00",6513361
YHOO,37.21,"2016-04-28 13:01:00",6531908
YHOO,37.205,"2016-04-28 13:01:00",6547832
YHOO,37.2,"2016-04-28 13:03:00",6572537
YHOO,37.195,"2016-04-28 13:05:00",6692678
YHOO,37.14,"2016-04-28 13:06:00",6732724
YHOO,37.11,"2016-04-28 13:07:00",6763081
YHOO,37.11,"2016-04-28 13:08:00",6786688
YHOO,37.1,"2016-04-28 13:08:00",6800943
YHOO,37.08,"2016-04-28 13:10:00",6809633
YHOO,37.0729,"2016-04-28 13:10:00",6833536
YHOO,37.1,"2016-04-28 13:12:00",6845894
YHOO,37.105,"2016-04-28 13:13:00",6874994
YHOO,37.1,"2016-04-28 13:14:00",6888931
YHOO,37.12,"2016-04-28 13:15:00",6904032
YHOO,37.1,"2016-04-28 13:16:00",6912960
YHOO,37.1,"2016-04-28 13:17:00",6919628
YHOO,37.1,"2016-04-28 13:18:00",6926879
YHOO,37.12,"2016-04-28 13:18:00",6936603
YHOO,37.13,"2016-04-28 13:19:00",6942283
YHOO,37.12,"2016-04-28 13:20:00",6949849
YHOO,37.1,"2016-04-28 13:22:00",6967918
YHOO,37.115,"2016-04-28 13:23:00",6974755
YHOO,37.1,"2016-04-28 13:23:00",6976893
YHOO,37.11,"2016-04-28 13:25:00",6985629
YHOO,37.13,"2016-04-28 13:25:00",6991394
YHOO,37.129,"2016-04-28 13:26:00",6999584
YHOO,37.1201,"2016-04-28 13:27:00",7007056
YHOO,37.11,"2016-04-28 13:28:00",7016141
YHOO,37.13,"2016-04-28 13:29:00",7021269
YHOO,37.135,"2016-04-28 13:30:00",7023876
YHOO,37.125,"2016-04-28 13:31:00",7028903
YHOO,37.14,"2016-04-28 13:33:00",7045438
YHOO,37.14,"2016-04-28 13:34:00",7057699
YHOO,37.14,"2016-04-28 13:35:00",7059405
YHOO,37.13,"2016-04-28 13:36:00",7072853
YHOO,37.125,"2016-04-28 13:37:00",7093174
YHOO,37.1237,"2016-04-28 13:38:00",7106992
YHOO,37.115,"2016-04-28 13:39:00",7111665
YHOO,37.1041,"2016-04-28 13:40:00",7123210
YHOO,37.1,"2016-04-28 13:41:00",7147340
YHOO,37.12,"2016-04-28 13:42:00",7153575
YHOO,37.122,"2016-04-28 13:43:00",7330851
YHOO,37.1259,"2016-04-28 13:44:00",7335453
YHOO,37.11,"2016-04-28 13:46:00",7355074
YHOO,37.125,"2016-04-28 13:46:00",7369887
YHOO,37.14,"2016-04-28 13:47:00",7380487
YHOO,37.12,"2016-04-28 13:48:00",7487487
YHOO,37.11,"2016-04-28 13:49:00",7495123
YHOO,37.14,"2016-04-28 13:51:00",7506679
YHOO,37.14,"2016-04-28 13:51:00",7510889
YHOO,37.13,"2016-04-28 13:52:00",7537064
YHOO,37.1285,"2016-04-28 13:54:00",7541459
YHOO,37.1199,"2016-04-28 13:55:00",7555999
YHOO,37.1111,"2016-04-28 13:55:00",7564098
YHOO,37.1,"2016-04-28 13:56:00",7578786
YHOO,37.1,"2016-04-28 13:58:00",7597718
YHOO,37.095,"2016-04-28 13:59:00",7623448
YHOO,37.1,"2016-04-28 14:00:00",7641385
YHOO,37.08,"2016-04-28 14:01:00",7651254
YHOO,36.99,"2016-04-28 14:26:00",7979686
YHOO,37.02,"2016-04-28 14:27:00",7988091
YHOO,37.005,"2016-04-28 14:28:00",7996681
YHOO,37.017,"2016-04-28 14:30:00",8004235
YHOO,37.02,"2016-04-28 14:30:00",8015326
YHOO,37.01,"2016-04-28 14:31:00",8025340
YHOO,37,"2016-04-28 14:32:00",8044012
YHOO,37.005,"2016-04-28 14:33:00",8060314
YHOO,37,"2016-04-28 14:35:00",8068846
YHOO,37.02,"2016-04-28 14:35:00",8089435
YHOO,37,"2016-04-28 14:36:00",8117820
YHOO,36.965,"2016-04-28 14:37:00",8124752
YHOO,36.9617,"2016-04-28 14:39:00",8131857
YHOO,36.96,"2016-04-28 14:40:00",8138742
YHOO,36.9688,"2016-04-28 14:40:00",8142883
YHOO,36.945,"2016-04-28 14:42:00",8151621
YHOO,36.945,"2016-04-28 14:42:00",8152776
YHOO,36.94,"2016-04-28 14:43:00",8166333
YHOO,36.94,"2016-04-28 14:44:00",8172177
YHOO,36.9001,"2016-04-28 14:45:00",8202709
YHOO,36.91,"2016-04-28 14:46:00",8208345
YHOO,36.885,"2016-04-28 14:48:00",8221440
YHOO,36.9,"2016-04-28 14:48:00",8227473
YHOO,36.91,"2016-04-28 14:49:00",8236422
YHOO,36.9,"2016-04-28 14:50:00",8243530
YHOO,36.89,"2016-04-28 14:52:00",8257871
YHOO,36.87,"2016-04-28 14:52:00",8283789
YHOO,36.89,"2016-04-28 14:53:00",8288940
YHOO,36.85,"2016-04-28 14:55:00",8302728
YHOO,36.84,"2016-04-28 14:55:00",8310676
YHOO,36.84,"2016-04-28 14:56:00",8319192
YHOO,36.85,"2016-04-28 14:58:00",8333366
YHOO,36.84,"2016-04-28 14:58:00",8337381
YHOO,36.855,"2016-04-28 15:00:00",8358090
YHOO,36.82,"2016-04-28 15:00:00",8371374
YHOO,36.845,"2016-04-28 15:01:00",8390329
YHOO,36.87,"2016-04-28 15:02:00",8420028
YHOO,36.87,"2016-04-28 15:04:00",8454695
YHOO,36.84,"2016-04-28 15:05:00",8479306
YHOO,36.835,"2016-04-28 15:05:00",8488766
YHOO,36.8,"2016-04-28 15:07:00",8522197
YHOO,36.8,"2016-04-28 15:07:00",8531053
YHOO,36.795,"2016-04-28 15:08:00",8535314
YHOO,36.78,"2016-04-28 15:09:00",8569577
YHOO,36.76,"2016-04-28 15:11:00",8584120
YHOO,36.755,"2016-04-28 15:11:00",8600003
YHOO,36.7501,"2016-04-28 15:12:00",8621075
YHOO,36.72,"2016-04-28 15:13:00",8657207
YHOO,36.71,"2016-04-28 15:15:00",8687700
YHOO,36.71,"2016-04-28 15:16:00",8728218
YHOO,36.67,"2016-04-28 15:16:00",8761649
YHOO,36.73,"2016-04-28 15:17:00",8841066
YHOO,36.69,"2016-04-28 15:19:00",8872372
YHOO,36.6663,"2016-04-28 15:19:00",8900890
YHOO,36.71,"2016-04-28 15:21:00",8916233
YHOO,36.69,"2016-04-28 15:22:00",8937664
YHOO,36.67,"2016-04-28 15:23:00",8971316
YHOO,36.67,"2016-04-28 15:23:00",9001783
YHOO,36.64,"2016-04-28 15:24:00",9034900
YHOO,36.54,"2016-04-28 15:25:00",9125548
YHOO,36.58,"2016-04-28 15:26:00",9174350
YHOO,36.6,"2016-04-28 15:27:00",9206602
YHOO,36.55,"2016-04-28 15:28:00",9238775
YHOO,36.53,"2016-04-28 15:30:00",9271223
YHOO,36.57,"2016-04-28 15:30:00",9314935
YHOO,36.57,"2016-04-28 15:32:00",9355235
YHOO,36.585,"2016-04-28 15:33:00",9416402
YHOO,36.555,"2016-04-28 15:33:00",9443782
YHOO,36.55,"2016-04-28 15:34:00",9498621
YHOO,36.6,"2016-04-28 15:35:00",9567628
YHOO,36.61,"2016-04-28 15:37:00",9605345
YHOO,36.59,"2016-04-28 15:38:00",9651580
YHOO,36.625,"2016-04-28 15:38:00",9687380
YHOO,36.605,"2016-04-28 15:39:00",9718806
YHOO,36.61,"2016-04-28 15:40:00",9769085
YHOO,36.64,"2016-04-28 15:42:00",9887962
YHOO,36.625,"2016-04-28 15:44:00",9940574
YHOO,36.64,"2016-04-28 15:51:00",10369845
YHOO,36.64,"2016-04-28 15:52:00",10417059
YHOO,36.585,"2016-04-28 15:52:00",10488700
YHOO,36.56,"2016-04-28 15:53:00",10553404
YHOO,36.55,"2016-04-28 15:55:00",10613997
YHOO,36.54,"2016-04-28 15:56:00",10687702
YHOO,36.545,"2016-04-28 15:57:00",10773684
YHOO,36.525,"2016-04-28 15:58:00",10850901
YHOO,36.55,"2016-04-28 15:58:00",10938317
YHOO,36.59,"2016-04-28 16:00:00",11391276
YHOO,36.59,"2016-04-28 16:00:00",12902519
YHOO,36.59,"2016-04-28 16:00:00",12905869
YHOO,36.59,"2016-04-28 16:00:00",12906369
YHOO,36.59,"2016-04-28 16:00:00",12910737
YHOO,36.59,"2016-04-28 16:00:00",12910737
YHOO,36.59,"2016-04-28 16:00:00",12912773
YHOO,36.59,"2016-04-28 16:00:00",12914544
YHOO,36.59,"2016-04-28 16:00:00",12915844
YHOO,36.59,"2016-04-28 16:00:00",12916445
YHOO,36.59,"2016-04-28 16:00:00",12930945
YHOO,36.59,"2016-04-28 16:00:00",12930945
YHOO,36.59,"2016-04-28 16:00:00",12956244
YHOO,36.59,"2016-04-28 16:00:00",12956244
YHOO,36.59,"2016-04-28 16:00:00",12956705
YHOO,36.59,"2016-04-28 16:00:00",12956705
YHOO,36.59,"2016-04-28 16:00:00",12956705
YHOO,36.59,"2016-04-28 16:00:00",12956705
YHOO,36.59,"2016-04-28 16:00:00",12956705
YHOO,36.59,"2016-04-28 16:00:00",12956705
YHOO,36.59,"2016-04-28 16:00:00",12984535
YHOO,36.59,"2016-04-28 16:00:00",12985388
YHOO,36.59,"2016-04-28 16:00:00",13011664
YHOO,36.59,"2016-04-28 16:00:00",13011664
YHOO,36.59,"2016-04-28 16:00:00",13011664
YHOO,36.59,"2016-04-28 16:00:00",13011864
YHOO,36.59,"2016-04-28 16:00:00",13011864
YHOO,36.59,"2016-04-28 16:00:00",13011864
YHOO,36.59,"2016-04-28 16:00:00",13096718
YHOO,36.59,"2016-04-28 16:00:00",13148503
YHOO,36.59,"2016-04-28 16:00:00",13148503
YHOO,36.59,"2016-04-28 16:00:00",13149803
YHOO,36.59,"2016-04-28 16:00:00",13149803
YHOO,36.59,"2016-04-28 16:00:00",13149803
YHOO,36.59,"2016-04-28 16:00:00",13149803
YHOO,36.59,"2016-04-28 16:00:00",13150303
YHOO,36.59,"2016-04-28 16:00:00",13153728
YHOO,36.59,"2016-04-28 16:00:00",13153828
YHOO,36.59,"2016-04-28 16:00:00",13154128
YHOO,36.59,"2016-04-28 16:00:00",13159028
YHOO,36.59,"2016-04-28 16:00:00",13159028
YHOO,36.59,"2016-04-28 16:00:00",13159028
YHOO,36.59,"2016-04-28 16:00:00",13159028
YHOO,36.59,"2016-04-28 16:00:00",13159028
YHOO,36.59,"2016-04-28 16:00:00",13159028
